产品名称,ASIN,URL,Listing月销量,实际价格( $ ),评分星级,评价数量,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,曝光占比,上架时间,品牌,卖家
产品名称,ASIN,,Listing月销量,实际价格( $ ),评分星级,评价数量,全部( % ),自然位( % ),品牌广告( % ),SP广告( % ),视频广告( % ),推荐( % ),上架时间,品牌,卖家
"ACTIVE Mold Stain Remover Gel Cleaner Heavy Duty Stain Cleaner for Front Loader Washing Machine Seal, Bathroom Grout, Shower, Caulk - Front Load Washer Cleaning Solution - 7 Fl Oz",B0CTS8VQ85,https://www.amazon.com/dp/B0CTS8VQ85/?th=1,122156,15.95,4.10,7359,0.01,0,0.24,0,0,0,2024-06-04,ACTIVE,ACTIVE Official
"Earth Breeze Laundry Detergent Sheets Fresh Scent - 60 Loads Eco Liquidless Soap - Travel-Friendly for Hot & Cold Cycles, Tackles Tough Stains & Odors - Gentle on Skin, 30 Ct",B08GF7YGCD,https://www.amazon.com/dp/B08GF7YGCD/?th=1,112961,12.59,4.40,92289,0.01,0,0,0,1.96,0,2021-05-05,Earth Breeze,Earth Breeze
"Washing Machine Cleaner Descaler 24 Pack - Deep Cleaning Tablets For HE Front Loader & Top Load Washer, Septic Safe Eco-Friendly Deodorizer, Clean Inside Drum and Laundry Tub Seal - 12 Month Supply",B08DVFZTTG,https://www.amazon.com/dp/B08DVFZTTG/?th=1,107611,17.95,4.60,139348,0.01,0,0.24,0,0,0,2020-10-09,ACTIVE,ACTIVE Official
"Life Extension Neuro-Mag Magnesium L-Threonate, Magnesium L-threonate, Memory Health, Quick Thinking, Cognitive Health Support, Vegetarian, Non-GMO, 90 Vegetarian Capsules",B006P536E6,https://www.amazon.com/dp/B006P536E6/?th=1,74745,30.74,4.50,20663,0.01,0,0.24,0,0,0,2017-10-12,Life Extension,Amazon
"NMNH Supplement Alternative - Liposomal NAD with Resveratrol - High Purity NAD Supplement for Anti-Aging, Energy, Focus - 60 Capsules",B0CFZLNC5F,https://www.amazon.com/dp/B0CFZLNC5F/?th=1,53001,29.24,4.30,4898,0.01,0,0.24,0,0,0,2023-08-19,Cata-Kor,Cata-Kor
"Muddy Mat? Shown on TV – Super Absorbent Microfiber Dog Door Mat for Muddy Paws, Non-Slip Washable Pet Rug, Quick Dry Chenille Entryway Carpet, Machine Washable Indoor Outdoor mat, Grey 30'x19'",B08N6VLJKV,https://www.amazon.com/dp/B08N6VLJKV/?th=1,46567,24.95,4.60,27116,0.01,0,0,0.05,0,0,2020-11-11,Muddy Mat,The Virality Gifts
Oura Ring 4 Sizing Kit - Size Before You Buy Oura Ring 4 - Unique Sizing - Receive Credit for Purchase,B0D9WVWXR1,https://www.amazon.com/dp/B0D9WVWXR1/?th=1,35752,10.00,4.20,3127,0.03,0,0.48,0,0,0,2024-08-14,OURA,Amazon
Oura Ring 4 - Silver - Size 8 - Smart Ring - Size First with Oura Ring 4 Sizing Kit - Sleep Tracking Wearable - Heart Rate - Fitness Tracker - Up to 8 Days of Battery Life,B0D9WVSZ56,https://www.amazon.com/dp/B0D9WVSZ56/?th=1,35752,349.00,4.20,3129,0.03,0,0.48,0,0,0,2024-08-14,OURA,Amazon
Oura Ring 4 - Gold - Size 8 - Smart Ring - Size First with Oura Ring 4 Sizing Kit - Sleep Tracking Wearable - Heart Rate - Fitness Tracker - Up to 8 Days of Battery Life,B0D9WVKXLK,https://www.amazon.com/dp/B0D9WVKXLK/?th=1,35752,499.00,4.20,3128,0.03,0,0.48,0,0,0,2024-08-14,OURA,Amazon
