Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
Solar Lanterns Outdoor Waterproof Mushroom Butterfly Garden Decor Gifts for Women Mon Grandma Metal Hanging Solar Lights Decoration for Outside LED Lanterns for Yard Patio Lawn Pathway Landscape,,,,,,,,,,,
流量占比 > 1%,,流量占比 > 0.5 % 且 自然流量占比 > 66.6%,月搜索量 TOP 10,转化率 > 50%,,,,,,,
garden decor,花园装饰,76.02%,自然搜索词/SP广告词,23%,104,34,"371,843","148,763","107,545",3.5,5.1%
outdoor garden decor,户外花园装饰,6.76%,自然搜索词/SP广告词,71%,176,34,"35,921","14,754","33,849",1.1,5.0%
outdoor decor for patio,露台的户外装饰,3.24%,自然搜索词,100%,82,前3页无排名,"56,777","22,468","106,116",0.5,2.7%
solar garden decor,太阳能花园装饰,2.39%,自然搜索词/SP广告词,87%,139,51,"37,746","16,673","8,089",4.7,5.3%
butterfly garden decor,蝴蝶花园装饰,2.32%,自然搜索词,100%,69,前3页无排名,"11,022","5,426","5,273",2.1,8.6%
mushroom garden decor,蘑菇花园装饰,2.26%,自然搜索词/SP广告词,94%,60,37,"12,539","6,142","1,651",7.6,18.4%
outdoor mushroom decor,户外蘑菇装饰,0.77%,自然搜索词,100%,20,前3页无排名,"4,341","2,118","1,982",2.2,18.6%
japanese garden decor,日式花园装饰,0.69%,自然搜索词/SP广告词,43%,144,60,"11,175","4,718","4,527",2.5,8.2%
outdoor decor,户外装饰,0.66%,SP广告词,,前3页无排名,33,"272,045","123,836","40,657",6.7,4.6%
mushroom outdoor decor,蘑菇户外装饰,0.65%,自然搜索词,100%,12,前3页无排名,"3,808","1,484","2,345",1.6,15.4%
garden decor for outside clearance,外部间隙的花园装饰,0.59%,自然搜索词/SP广告词,94%,111,98,"9,055","4,188","68,864",0.1,6.1%
patio decor,天井装饰,0.48%,HR推荐词/SP广告词,,前3页无排名,109,"218,561","108,055","17,738",12.3,4.8%
outside decorations for yard,院子的外部装饰,0.46%,自然搜索词,100%,119,前3页无排名,"23,971","9,757","41,863",0.6,6.8%
large garden decor,大花园装饰,0.44%,自然搜索词,100%,25,前3页无排名,"2,684","1,142","106,559",0.0,4.6%
hanging garden decor,悬挂式花园装饰,0.40%,自然搜索词/SP广告词,66%,119,77,"5,862","2,831","33,370",0.2,3.0%
butterfly garden,蝴蝶园,0.35%,自然搜索词,100%,144,前3页无排名,"39,232","15,827","8,307",4.7,46.6%
zen garden decor outdoor,禅宗花园装饰户外,0.35%,自然搜索词/HR推荐词,70%,135,62,"3,113","1,457","1,767",1.8,7.0%
mushroom decor outdoor,户外蘑菇装饰,0.33%,自然搜索词,100%,47,前3页无排名,"1,650",659,"2,245",0.7,25.0%
cute garden decor,可爱的花园装饰,0.27%,自然搜索词/HR推荐词/SP广告词,24%,170,83,"3,281","1,335","10,770",0.3,11.3%
butterfly lights,蝴蝶灯,0.12%,自然搜索词,100%,132,前3页无排名,"9,123","3,902","5,764",1.6,10.1%
jardineria y patio decoracion,jardineria y 露台装饰,0.09%,自然搜索词,100%,151,前3页无排名,"5,443","2,281",285,19.1,21.4%
grandma garden gifts,奶奶花园礼物,0.06%,自然搜索词,100%,135,前3页无排名,"2,971","1,295","8,139",0.4,14.3%
grandmas garden decor with names,有名字的祖母花园装饰,0.06%,SP广告词,,前3页无排名,67,"16,218","7,526",560,29.0,23.7%
mushroom gifts for women,女士蘑菇礼物,0.05%,自然搜索词,100%,105,前3页无排名,"2,702","1,262","14,925",0.2,12.0%
