Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
"Acrylic Dry Erase Board with Light, 13.7""X10"" 6-Color Neon Glow Memo LED Light-Up Message Note Board with Stand as Night Light for Room/Store/Office/Festival/Gift, Touch Control, 7 Markers",,,,,,,,,,,
流量占比 > 1%,,流量占比 > 0.5 % 且 自然流量占比 > 66.6%,月搜索量 TOP 10,转化率 > 50%,,,,,,,
acrylic dry erase board,亚克力干擦板,41.81%,自然搜索词,100%,57,前3页无排名,"20,294","9,057","1,994",10.2,26.7%
light board,光板,13.15%,自然搜索词,100%,136,前3页无排名,"15,257","7,275",825,18.5,30.5%
acrylic dry erase board with light,亚克力干擦板带灯,6.26%,自然搜索词,100%,42,前3页无排名,"3,121","1,382",421,7.4,30.5%
small dry erase board,小型干擦板,5.48%,自然搜索词,100%,154,前3页无排名,"33,768","15,751","4,494",7.5,32.5%
led note board with colors,彩色 LED 便条板,4.96%,自然搜索词,100%,49,前3页无排名,"2,219","1,041",359,6.2,23.4%
white boards,白板,4.82%,自然搜索词,100%,146,前3页无排名,"23,334","9,669","4,670",5.0,21.2%
whiteboard with stand,带支架的白板,3.89%,自然搜索词,100%,111,前3页无排名,"11,007","4,295",985,11.2,26.8%
acrylic white board,亚克力白板,3.71%,自然搜索词,100%,70,前3页无排名,"3,621","1,380","1,726",2.1,13.2%
dry erase board with stand,带支架的干擦板,2.80%,自然搜索词,100%,143,前3页无排名,"15,026","6,113","1,016",14.8,28.9%
large white board dry erase,大白板干擦,2.71%,自然搜索词,100%,153,前3页无排名,"14,500","6,993","4,329",3.4,28.9%
dry erase calendar,干擦式日历,1.96%,品牌广告词,,前3页无排名,1,"58,723","26,722","3,288",17.9,13.2%
led writing board,LED写字板,1.76%,自然搜索词,100%,100,前3页无排名,"1,785",820,978,1.8,18.0%
desk dry erase board,书桌干擦板,1.72%,自然搜索词,100%,168,前3页无排名,"6,790","2,834","1,839",3.7,16.6%
office board,办公板,1.42%,自然搜索词,100%,103,前3页无排名,"2,068","1,018","7,423",0.3,8.3%
marker board,标记板,0.96%,自然搜索词,100%,155,前3页无排名,"5,387","2,051","3,497",1.5,24.9%
white board stand,白板架,0.67%,自然搜索词,100%,157,前3页无排名,"3,667","1,436","1,105",3.3,40.5%
magnetic calendar,磁性日历,0.65%,品牌广告词,,前3页无排名,54,"19,988","9,222","2,778",7.2,13.5%
white board with stand,带支架的白板,0.62%,自然搜索词,100%,137,前3页无排名,"3,064","1,349",995,3.1,24.2%
monthly calendar,月历,0.39%,品牌广告词,,前3页无排名,54,"11,500","4,643","15,885",0.7,16.6%
fridge magnet organizer,冰箱磁铁组织者,0.26%,品牌广告词,,前3页无排名,54,"7,365","3,619","2,392",3.1,17.3%
