Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
"LEGO Marvel Dancing Groot, Guardians of The Galaxy Toy, Buildable Birthday Gift, Marvel Toy, Super Hero Hand-Operated Interactive Playset, Marvel Gift for Kids, Animated Groot Figure, 76297",,,,,,,,,,,
流量占比 > 1%,,流量占比 > 0.5 % 且 自然流量占比 > 66.6%,月搜索量 TOP 10,转化率 > 50%,,,,,,,
lego,乐高,24.59%,自然搜索词/视频广告词/SP广告词,47%,9,23,"87,161","36,814",85,1025.4,68.4%
lego sets,乐高套装,13.83%,自然搜索词/品牌广告词/视频广告词/SP广告词,44%,4,2,"59,075","23,990",44,1342.6,40.5%
legos,乐高,7.86%,自然搜索词/视频广告词/SP广告词,94%,4,4,"83,410","36,968",7,11915.7,85.1%
lego flowers,乐高花,6.23%,自然搜索词,100%,37,前3页无排名,"67,950","25,831","10,751",6.3,12.0%
action figures,行动人物,2.20%,自然搜索词,100%,77,前3页无排名,"132,620","64,122","2,740",48.4,4.5%
lego marvel,乐高漫威,2.00%,自然搜索词/品牌广告词/视频广告词/SP广告词,58%,12,5,"33,665","14,935",141,238.8,41.6%
lego set,乐高套装,1.98%,自然搜索词/品牌广告词/视频广告词/SP广告词,47%,6,1,"37,548","17,664",50,751.0,57.0%
marvel,漫威,1.49%,自然搜索词,100%,48,前3页无排名,"54,533","22,117","1,501",36.3,16.9%
lego sets for boys 8-14,8-14岁男孩的乐高套装,1.30%,自然搜索词/视频广告词,53%,105,67,"44,499","18,278","3,528",12.6,12.3%
lego batman,乐高蝙蝠侠,1.24%,自然搜索词,100%,48,前3页无排名,"46,878","22,006",511,91.7,15.4%
lego fortnite,乐高堡垒之夜,1.00%,自然搜索词/视频广告词,33%,91,5,"35,005","16,335","27,146",1.3,7.1%
guardians of the galaxy,银河系的守护者,0.99%,自然搜索词/视频广告词,3%,94,4,"15,907","6,263","1,634",9.7,31.2%
fortnite lego,堡垒之夜乐高,0.87%,自然搜索词,100%,47,前3页无排名,"15,813","6,302",100,158.1,45.5%
marvel lego sets,奇迹乐高套装,0.78%,自然搜索词/SP广告词,77%,25,7,"13,827","6,148","17,968",0.8,6.8%
lego harry potter,乐高哈利波特,0.61%,自然搜索词/视频广告词/SP广告词,76%,5,50,"12,063","5,958",85,141.9,65.8%
spiderman lego,乐高蜘蛛侠,0.60%,自然搜索词/视频广告词,97%,4,4,"12,853","6,171",79,162.7,90.0%
lego art,乐高艺术,0.56%,自然搜索词/视频广告词,52%,33,17,"9,476","3,764","136,745",0.1,0.0%
transformers,变形金刚,0.56%,自然搜索词,100%,35,前3页无排名,"7,422","2,879",120,61.9,0.0%
marvel lego,惊奇乐高,0.56%,自然搜索词/视频广告词,10%,47,18,"8,378","4,131","13,839",0.6,18.9%
stitch lego,缝合乐高,0.55%,自然搜索词,100%,16,前3页无排名,"7,709","2,941","2,099",3.7,18.6%
disney lego sets,迪士尼乐高套装,0.44%,自然搜索词,100%,14,前3页无排名,"3,363","1,603",12,280.3,72.2%
action figures for boys,男孩的动作人物,0.40%,视频广告词,,前3页无排名,53,"514,057","200,012","17,671",29.1,14.7%
marvel toys,惊奇玩具,0.39%,自然搜索词,100%,83,前3页无排名,"20,966","9,758",114,183.9,17.7%
fortnite lego sets,堡垒之夜乐高套装,0.38%,自然搜索词,100%,48,前3页无排名,"4,119","1,700",125,33.0,71.0%
lego marvel sets,乐高奇迹套装,0.37%,自然搜索词/视频广告词,19%,35,8,"3,872","1,702",144,26.9,54.4%
lego flower,乐高花,0.35%,自然搜索词/视频广告词,78%,2,4,"4,420","2,147",2,2210.0,75.0%
venom,毒液,0.35%,自然搜索词/SP广告词,98%,16,35,"4,209","1,937",5,841.8,52.9%
lego figures,乐高数字,0.35%,自然搜索词/视频广告词/SP广告词,85%,19,37,"4,803","1,920","3,101",1.6,0.0%
lego star wars,乐高星球大战,0.34%,自然搜索词/视频广告词/SP广告词,88%,2,4,"2,710","1,123",7,387.1,94.1%
halloween legos,万圣节乐高积木,0.33%,自然搜索词/视频广告词/SP广告词,51%,7,4,"2,725","1,357","2,389",1.1,38.9%
millenium falcon lego,千年隼乐高,0.31%,自然搜索词,100%,2,前3页无排名,"2,778","1,205",31,89.6,80.0%
groot,格鲁特,0.30%,自然搜索词/视频广告词,67%,2,4,"4,622","2,002",9,513.6,64.7%
lego avengers tower,乐高复仇者塔,0.28%,自然搜索词/视频广告词,84%,5,50,"2,231",939,108,20.7,64.3%
flower lego,花乐高,0.28%,视频广告词,,前3页无排名,62,"256,764","123,764","8,314",30.9,9.6%
lego's,乐高的,0.28%,自然搜索词/视频广告词/SP广告词,72%,15,6,"6,217","2,864",829,7.5,0.0%
marvel legos,惊奇乐高积木,0.28%,自然搜索词,100%,52,前3页无排名,"2,208","1,032",146,15.1,30.4%
