Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
"Luma - The Patented Glow-in-The-Dark Toy That Flies a Loop of String, Creates Endless Shapes and Tricks Built-in LED for Glowing Fun. Perfect STEM Gift for Kids & Adults. Wonderment Awaits",,,,,,,,,,,
流量占比 > 1%,,流量占比 > 0.5 % 且 自然流量占比 > 66.6%,月搜索量 TOP 10,转化率 > 50%,,,,,,,
loop lasso,循环套索,14.58%,自然搜索词/视频广告词/SP广告词,47%,9,23,"87,161","36,814",85,1025.4,68.4%
zip string,拉链,9.75%,自然搜索词/品牌广告词/视频广告词/SP广告词,44%,4,2,"59,075","23,990",44,1342.6,40.5%
loop lasso nano,,7.85%,自然搜索词/视频广告词/SP广告词,94%,4,4,"83,410","36,968",7,11915.7,85.1%
glow in the dark,在黑暗中发亮,7.56%,自然搜索词,100%,37,前3页无排名,"67,950","25,831","10,751",6.3,12.0%
cool gadgets,酷酷的小玩意,7.47%,自然搜索词,100%,77,前3页无排名,"132,620","64,122","2,740",48.4,4.5%
zip string toy,拉链玩具,6.47%,自然搜索词/品牌广告词/视频广告词/SP广告词,58%,12,5,"33,665","14,935",141,238.8,41.6%
zipstring,拉链,6.06%,自然搜索词/品牌广告词/视频广告词/SP广告词,47%,6,1,"37,548","17,664",50,751.0,57.0%
loop,环,4.91%,自然搜索词,100%,48,前3页无排名,"54,533","22,117","1,501",36.3,16.9%
prank stuff,恶作剧的东西,4.70%,自然搜索词/视频广告词,53%,105,67,"44,499","18,278","3,528",12.6,12.3%
loops,循环,4.03%,自然搜索词,100%,48,前3页无排名,"46,878","22,006",511,91.7,15.4%
cool toys,超酷玩具,3.56%,自然搜索词/视频广告词,33%,91,5,"35,005","16,335","27,146",1.3,7.1%
lasso,套索,2.39%,自然搜索词/视频广告词,3%,94,4,"15,907","6,263","1,634",9.7,31.2%
dancing ferrofluid,跳舞的铁流体,1.61%,自然搜索词,100%,47,前3页无排名,"15,813","6,302",100,158.1,45.5%
glow in the dark toys,黑暗中发光的玩具,1.45%,自然搜索词/SP广告词,77%,25,7,"13,827","6,148","17,968",0.8,6.8%
loop lasso glow in the dark,循环套索在黑暗中发光,1.42%,自然搜索词/视频广告词/SP广告词,76%,5,50,"12,063","5,958",85,141.9,65.8%
a loop lasso,,1.39%,自然搜索词/视频广告词,97%,4,4,"12,853","6,171",79,162.7,90.0%
fun toys,有趣的玩具,1.01%,自然搜索词/视频广告词,52%,33,17,"9,476","3,764","136,745",0.1,0.0%
nikola toy,尼古拉玩具,0.97%,自然搜索词,100%,35,前3页无排名,"7,422","2,879",120,61.9,0.0%
flying toys,飞行玩具,0.95%,自然搜索词/视频广告词,10%,47,18,"8,378","4,131","13,839",0.6,18.9%
glow in the dark games,在黑暗中发光游戏,0.90%,自然搜索词,100%,16,前3页无排名,"7,709","2,941","2,099",3.7,18.6%
loop labs lasso,,0.85%,自然搜索词,100%,14,前3页无排名,"3,363","1,603",12,280.3,72.2%
fidget toys,小玩意,0.71%,视频广告词,,前3页无排名,53,"514,057","200,012","17,671",29.1,14.7%
pogo sticks for kids ages 8-12 100lbs,适合 8-12 岁儿童使用的波戈棒（100 磅,0.71%,自然搜索词,100%,83,前3页无排名,"20,966","9,758",114,183.9,17.7%
gravity disc,重力盘,0.68%,自然搜索词,100%,48,前3页无排名,"4,119","1,700",125,33.0,71.0%
silly string web shooter,愚蠢的字符串网络射手,0.58%,自然搜索词/视频广告词,19%,35,8,"3,872","1,702",144,26.9,54.4%
zipstring luma,,0.56%,自然搜索词/视频广告词,78%,2,4,"4,420","2,147",2,2210.0,75.0%
looplasso,环套索,0.56%,自然搜索词/SP广告词,98%,16,35,"4,209","1,937",5,841.8,52.9%
cool gadgets for kids,为孩子们准备的酷玩意,0.48%,自然搜索词/视频广告词/SP广告词,85%,19,37,"4,803","1,920","3,101",1.6,0.0%
zip string luma,,0.41%,自然搜索词/视频广告词/SP广告词,88%,2,4,"2,710","1,123",7,387.1,94.1%
string toy,线玩具,0.38%,自然搜索词/视频广告词/SP广告词,51%,7,4,"2,725","1,357","2,389",1.1,38.9%
zipstring glow in the dark,,0.37%,自然搜索词,100%,2,前3页无排名,"2,778","1,205",31,89.6,80.0%
zip string luma glow in the dark,,0.37%,自然搜索词/视频广告词,67%,2,4,"4,622","2,002",9,513.6,64.7%
loop laso,循环套索,0.34%,自然搜索词/视频广告词,84%,5,50,"2,231",939,108,20.7,64.3%
fidget toys adults,成人玩具,0.34%,视频广告词,,前3页无排名,62,"256,764","123,764","8,314",30.9,9.6%
christmas 2024 top toys,,0.31%,自然搜索词/视频广告词/SP广告词,72%,15,6,"6,217","2,864",829,7.5,0.0%
led poi,铅笔画,0.24%,自然搜索词,100%,52,前3页无排名,"2,208","1,032",146,15.1,30.4%
glow in the dark string,在黑暗中发光,0.21%,自然搜索词,100%,51,前3页无排名,"1,840",819,"4,321",0.4,38.9%
web slinger,网投手,0.19%,自然搜索词/视频广告词,5%,52,50,"1,859",831,174,10.7,31.3%
cool gadgets for boys,男孩的酷玩意,0.19%,自然搜索词/视频广告词/SP广告词,65%,36,136,"1,922",927,"5,213",0.4,0.0%
flying ghost zipline,,0.18%,自然搜索词,100%,15,前3页无排名,"2,197","1,034",33,66.6,75.0%
nerf,NERF（玩具品牌）,0.18%,SP广告词,,前3页无排名,65,"142,059","67,512","7,870",18.1,14.0%
best toys 2024,,0.17%,自然搜索词/视频广告词,11%,32,4,"1,357",555,"7,046",0.2,16.7%
goliath fidget blox 3 pack with back pack clip,,0.17%,自然搜索词,100%,31,前3页无排名,"13,333","6,533",33,404.0,100.0%
string shooter,线射手,0.16%,自然搜索词/视频广告词/SP广告词,41%,16,50,837,400,161,5.2,20.0%
rope launcher,绳索发射器,0.15%,自然搜索词/视频广告词,31%,52,51,"1,614",653,296,5.5,60.0%
flying toy,飞行玩具,0.11%,自然搜索词/视频广告词/SP广告词,62%,57,160,"2,826","1,409","13,328",0.2,18.2%
gifts for teen boys,给青少年男孩的礼物,0.10%,SP广告词,,前3页无排名,82,"70,033","31,711","23,968",2.9,5.0%
morf fidget toy,,0.10%,自然搜索词,100%,138,前3页无排名,"6,971","3,101",203,34.3,32.1%
silly string,愚蠢的字符串,0.10%,视频广告词,,前3页无排名,4,"62,134","30,760",63,986.3,70.3%
magic tricks for adults,成人魔术,0.08%,自然搜索词,100%,116,前3页无排名,"6,801","2,696","3,448",2.0,20.7%
shark tank,鲨鱼坦克,0.08%,视频广告词,,前3页无排名,49,"46,816","19,539","2,000",23.4,0.0%
led toys,领先的玩具,0.07%,自然搜索词,100%,78,前3页无排名,"1,913",765,"12,699",0.2,25.0%
web shooter,网络射手,0.06%,视频广告词,,前3页无排名,51,"44,230","21,446",231,191.5,18.9%
magic trick,妙招,0.06%,自然搜索词,100%,125,前3页无排名,"5,389","2,216","4,101",1.3,27.6%
fidget toys for kids,孩子们的指尖玩具,0.06%,视频广告词,,前3页无排名,122,"45,233","21,162","11,510",3.9,13.2%
ferrofluid,铁流体,0.06%,SP广告词,,前3页无排名,22,"39,902","15,409",116,344.0,25.9%
top toys 2024,2024年的热门玩具,0.05%,SP广告词,,前3页无排名,1,"35,293","13,868",603,58.5,6.0%
christmas gifts for teen boys,给青少年男孩的圣诞礼物,0.05%,SP广告词,,前3页无排名,65,"26,823","12,340","9,850",2.7,8.7%
gag gifts for men,男性的插科打诨礼物,0.05%,视频广告词,,前3页无排名,183,"31,056","12,344","15,321",2.0,11.0%
fidget toys for kids 8-12,8-12 岁儿童的指尖玩具,0.04%,视频广告词,,前3页无排名,186,"29,011","11,367","2,729",10.6,13.4%
magic tricks for kids,孩子们的魔术技巧,0.04%,自然搜索词,100%,97,前3页无排名,"2,128",881,"1,349",1.6,22.7%
skin picking fidget toys,皮肤采摘指尖玩具,0.03%,视频广告词,,前3页无排名,62,"22,946","9,471",437,52.5,17.1%
worm on a string,绳子上的蠕虫,0.03%,视频广告词,,前3页无排名,6,"18,099","7,789",163,111.0,41.0%
zip line,滑索,0.03%,品牌广告词/视频广告词,,前3页无排名,11,"19,870","7,659",164,121.2,9.1%
lasso rope,套索绳索,0.02%,视频广告词,,前3页无排名,50,"13,178","6,488",749,17.6,25.0%
nerd ropes,书呆子绳索,0.02%,视频广告词,,前3页无排名,52,"12,400","5,801",194,63.9,49.1%
tween boys gift ideas,补间男孩礼物的想法,0.02%,视频广告词,,前3页无排名,53,"10,077","4,549","1,210",8.3,5.6%
