Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
"Custom Gold Charm Necklace Personalized Engravable Charms, Unique Holiday Jewelry Gift for Her -P-CHARM-MIX-N,",,,,,,,,,,,
流量占比 > 1%,,流量占比 > 0.5 % 且 自然流量占比 > 66.6%,月搜索量 TOP 10,转化率 > 50%,,,,,,,
charm necklace,魅力项链,22.78%,自然搜索词/品牌广告词/视频广告词/SP广告词,5%,33,2,"73,828","30,451","74,695",1.0,7.3%
charm necklace for women,女士吊饰项链,19.07%,自然搜索词/品牌广告词/视频广告词,8%,23,2,"56,437","25,459","42,586",1.3,8.3%
name necklace,名字项链,9.90%,自然搜索词,100%,55,前3页无排名,"88,664","37,674","22,724",3.9,18.9%
custom necklaces for women,女士定制项链,9.07%,自然搜索词,100%,54,前3页无排名,"28,638","13,285","10,400",2.8,13.4%
personalized necklaces for women,女士个性化项链,5.73%,自然搜索词,100%,60,前3页无排名,"19,864","8,305","14,445",1.4,26.7%
necklace charms,项链挂件,4.93%,自然搜索词/品牌广告词/视频广告词,12%,56,55,"15,183","6,051","94,285",0.2,28.6%
gold charm necklace,金吊坠项链,4.55%,自然搜索词/品牌广告词/视频广告词,10%,31,2,"14,749","6,957","15,138",1.0,8.1%
charms for necklaces,项链挂件,2.97%,自然搜索词/品牌广告词/视频广告词/SP广告词,7%,23,2,"9,999","3,992","93,305",0.1,15.4%
charm necklace kit,魅力项链套件,2.94%,自然搜索词,100%,48,前3页无排名,"11,350","4,693","5,697",2.0,18.2%
initial necklaces for women,最初的女士项链,2.92%,自然搜索词,100%,144,前3页无排名,"138,799","61,619","7,883",17.6,1.9%
custom necklace,定制项链,2.91%,自然搜索词,100%,69,前3页无排名,"22,714","9,865","13,350",1.7,10.0%
gold charm necklace for women,女士金吊坠项链,1.62%,自然搜索词/视频广告词,42%,31,8,"4,318","1,986","19,582",0.2,37.5%
silver charm necklace for women,女士银色魅力项链,1.19%,自然搜索词/视频广告词,33%,51,5,"3,033","1,376","46,689",0.1,20.0%
charm necklaces,吊饰项链,1.10%,自然搜索词/品牌广告词/视频广告词,11%,20,2,"3,174","1,301","120,148",0.0,14.3%
gold charms for necklaces,项链的金吊饰,1.00%,自然搜索词/视频广告词,17%,5,14,"3,033","1,244","34,429",0.1,22.2%
gold necklace charms,金项链吊饰,0.64%,自然搜索词/品牌广告词/视频广告词,7%,58,53,"1,731",736,"34,462",0.1,0.0%
charm necklace for women kit,,0.62%,自然搜索词/视频广告词,30%,19,4,"1,327",601,"1,958",0.7,0.0%
martini necklace,马丁尼项链,0.61%,自然搜索词,100%,47,前3页无排名,"1,174",497,156,7.5,30.0%
necklace charm,项链吊饰,0.58%,自然搜索词/品牌广告词/视频广告词,11%,9,2,"1,930",774,"83,088",0.0,0.0%
chunky charm necklaces for women,,0.58%,自然搜索词,100%,37,前3页无排名,"1,458",610,"3,671",0.4,9.1%
custom jewelry for women,为女性定制珠宝,0.57%,自然搜索词,100%,32,前3页无排名,"1,664",772,"34,985",0.1,0.0%
custom necklaces,定制项链,0.57%,自然搜索词,100%,43,前3页无排名,"1,795",763,"24,503",0.1,50.0%
womens charm necklace,,0.56%,自然搜索词/品牌广告词/视频广告词,23%,46,2,"1,766",864,"41,833",0.0,12.5%
custom charm necklace,,0.56%,自然搜索词/品牌广告词/视频广告词/SP广告词,68%,2,4,"1,442",668,"4,467",0.3,100.0%
charms for necklace,项链的魅力,0.51%,自然搜索词/品牌广告词/视频广告词,6%,22,2,"1,345",668,"92,817",0.0,0.0%
layered necklaces for women,女士分层项链,0.31%,视频广告词,,前3页无排名,64,"75,353","32,259","13,594",5.5,8.1%
statement necklace for women,女士个性项链,0.16%,视频广告词,,前3页无排名,64,"35,668","15,335","15,865",2.3,8.9%
dainty necklace for women,精致的女士项链,0.13%,视频广告词,,前3页无排名,52,"24,624","12,228","21,028",1.2,10.9%
halloween necklace for women,万圣节女项链,0.13%,视频广告词,,前3页无排名,68,"23,191","10,024","13,338",1.7,8.0%
chunky charm necklace,厚实吊坠项链,0.10%,自然搜索词,100%,99,前3页无排名,"3,420","1,479","3,655",0.9,29.4%
chunky gold necklace for women,矮胖的女性金项链,0.10%,视频广告词,,前3页无排名,68,"17,252","7,782","4,623",3.7,11.4%
keychain charms,钥匙扣挂饰,0.08%,品牌广告词,,前3页无排名,2,"21,218","9,503","28,408",0.8,2.6%
western necklaces for women,西方女士项链,0.08%,视频广告词,,前3页无排名,64,"19,398","9,375","6,469",3.0,9.3%
ghost necklace for women,女用幽灵项链,0.07%,自然搜索词,100%,132,前3页无排名,"2,480","1,129","1,280",1.9,12.0%
beaded necklaces for women,女用串珠项链,0.06%,视频广告词,,前3页无排名,64,"14,349","5,792","18,815",0.8,5.0%
earring charms,耳饰,0.05%,品牌广告词,,前3页无排名,55,"12,638","5,726","29,379",0.4,0.0%
letter necklace for women,女士字母项链,0.04%,视频广告词,,前3页无排名,68,"6,558","2,697","7,430",0.9,2.2%
bow necklaces for women,女士蝴蝶结项链,0.03%,视频广告词,,前3页无排名,67,"3,965","1,595","1,677",2.4,14.3%
silver charm necklace,银色吊饰项链,0.02%,品牌广告词/视频广告词,,前3页无排名,2,"6,678","3,181","49,896",0.1,13.6%
strawberry necklace for women,草莓女士项链,0.01%,视频广告词,,前3页无排名,68,"1,332",576,460,2.9,20.9%
medallion necklace for women,女士奖章项链,0.01%,视频广告词,,前3页无排名,5,"2,515","1,213","2,392",1.1,6.7%
gold bubble letter necklace for women,,0.01%,视频广告词,,前3页无排名,53,"2,372",923,516,4.6,3.9%
charm necklace chain,魅力项链链,0.01%,品牌广告词/视频广告词,,前3页无排名,2,"3,441","1,445","30,640",0.1,15.4%
necklaces for women set,女士项链套装,0.01%,视频广告词,,前3页无排名,4,"2,409","1,161","23,107",0.1,7.7%
daisy necklace for women,女士雏菊项链,0.01%,视频广告词,,前3页无排名,6,"2,435",953,847,2.9,40.0%
costume necklaces for women,妇女的服装项链,0.01%,视频广告词,,前3页无排名,50,"2,067",905,"12,304",0.2,9.5%
charm necklace silver,银质吊坠项链,0.01%,品牌广告词,,前3页无排名,2,"2,314",932,"48,691",0.1,0.0%
