Cluster,avg_magnet_iq,max_magnet_iq,top_5_magnet_iq_keywords_phrases,avg_search_volume,max_search_volume,top_5_search_volume_keywords_phrases,avg_search_volume_trend,max_search_volume_trend,top_5_search_volume_trend_keywords_phrases,max_competing_products,sum_cpr,avg_cpr
candle,3445.5392156862745,66650.0,"['voluspa candle', 'volcano candle', 'candle lighter', 'la jolie muse candle', 'candle lamp']",6046.068627450981,196407.0,"['candles', 'candle', 'candle lighter', 'candle holder', 'candle lamp']",29.36,317.0,"['flameless candle burner', 'hummingbird candle holder', 'lamp with candle', 'candle soot catcher', 'candle wax lamp']",80000.0,2067,20.264705882352942
candle warmer,725.2666666666667,21301.0,"['coffee warmer', 'candle warmer plate', 'cupcakes and cashmere candle warmer', 'candle warmer', 'battery operated candle warmer']",1728.2820512820513,196445.0,"['candle warmer', 'coffee warmer', 'candle warmer plate', 'candle warmers', 'electric candle warmer']",69.49132947976878,3141.0,"['cozyberry candle warmer', 'cadle warmer', 'candle warmer lam', 'cool candle warmer', 'yankee candle warmer electric']",200000.0,2415,12.384615384615385
candle warmer lamp,2425.577639751553,470780.0,"['candle warmer lamp', 'candle lamp warmer', 'lamp candle warmer', 'funistree candle warmer lamp', 'flower candle warmer lamp']",2204.301242236025,470780.0,"['candle warmer lamp', 'candle lamp warmer', 'lamp candle warmer', 'heat lamp', 'candle warmer lamp bulb']",40.71326164874552,2075.0,"['heat lamp candle', 'candle warmer lamp glass shade', 'candle warmer lamp clear', 'loowoko candle warmer lamp', 'candle warmer lamp glass']",40000.0,4265,13.245341614906833
decor,1865.7463768115942,140000.0,"['skjrvrh', 'diptyque', 'nancy meyers home decor', 'sweet grace', 'cozyberry']",9582.036231884058,323599.0,"['room decor', 'home decor', 'home', 'bedroom decor', 'living room decor']",13.927007299270073,685.0,"['cozyberry', 'pretty home decor', 'regalos para mujer navidad', 'home gofts', 'regalos para mujer']",300000.0,3854,27.92753623188406
gift,65.07777777777778,1249.0,"['mother in law gifts', 'gifts for mother in law', 'mom christmas gifts', 'cool gifts for a new mom', 'last minute gifts for mother in law']",2881.366666666667,48764.0,"['mom christmas gifts', 'mother in law gifts', 'mom gifts for christmas', 'christmas gift for mom', 'gifts for mother in law']",82.98863636363636,1345.0,"['last minute christmas gifts for mom', 'gifts for moms on amazon', 'chritmas presents for mom', 'new mom christmas gifts', 'for mom christmas gifts']",100000.0,1690,18.77777777777778
gifts,50.64367816091954,1316.0,"[""gifts for women in their 60's"", 'birthday gifts for women', 'viral gifts for women', 'most popular gifts for women 2024', 'gift for women']",2890.7586206896553,132890.0,"['birthday gifts for women', 'gift for women', 'cute gifts for women', 'christmas gift for women', 'home decor gifts for women']",88.66265060240964,1430.0,"['50 gifts women', 'trending gifts for her', 'decor gifts for women', 'gifts for women home', 'gifts for women home decor']",200000.0,1355,15.574712643678161
house gift,397.45054945054943,23543.0,"['tiktok trend items', 'house warming gifts new home', 'perfect housewarming gifts', 'best housewarming gifts 2024', 'house warming gifts new home women']",1772.6043956043957,45413.0,"['house warming gifts new home', 'tiktok trend items', 'best housewarming gifts 2024', 'home gifts', 'house warming gifts']",128.58139534883722,3000.0,"['last minute gift', 'gifts for bedroom', 'meaning full gifts', 'fun home gifts', 'christmas birthday gifts']",200000.0,1388,15.252747252747254
lamp,1037.2537313432836,7991.0,"['lampara para velas aromaticas', 'lamp', 'aromatica', 'lamparas para velas aromaticas', 'flower lamp']",4188.373134328358,133791.0,"['lamp', 'lamps', 'flower lamp', 'vintage lamp', 'gold lamp']",61.68181818181818,3762.0,"['lamp gift', 'calentador de velas aromáticas electrico', 'aroma lamp', 'lamparas para velas aromaticas', 'fragrance lamp']",60000.0,1223,18.253731343283583
wax melt,1367.1830985915492,21165.0,"['wax warmer', 'wax melt warmer', 'wax melter', 'wax warmer for scented wax', 'wax burner']",4252.380281690141,84661.0,"['wax warmer', 'wax melts', 'wax melt warmer', 'wax warmer for scented wax', 'wax melter']",19.887323943661972,848.0,"['candle wax melter warmer', 'glass wax melt warmer', 'lamp wax melt warmer', 'electric wax melt warmers', 'candle warmer wax melter']",20000.0,1320,18.591549295774648
with timer,1665.2,34901.0,"['candle warmer lamp with timer', 'blackyuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass ', 'candle warmer with timer', 'wax warmer with timer', 'candle lamp warmer with timer']",1262.7818181818182,34901.0,"['candle warmer lamp with timer', 'candle warmer with timer', 'candle lamp warmer with timer', 'yuichoy candle warmer lamp with timer', 'candle warmer lamps with timer']",89.16,3126.0,"['candle warming lamp with timer', 'candle warmer lamp with timer 2 pack', 'white candle warmer lamp with timer', 'candle lamps with timer', 'candle warmer lamp adjustable height with timer']",1000.0,672,12.218181818181819
