Cluster,avg_magnet_iq,max_magnet_iq,top_5_magnet_iq_keywords_phrases,avg_search_volume,max_search_volume,top_5_search_volume_keywords_phrases,avg_search_volume_trend,max_search_volume_trend,top_5_search_volume_trend_keywords_phrases,avg_selling_num,max_selling_num,max_competing_products,sum_cpr,avg_cpr
adjective + lamp,1137.2266666666667,27730.0,"['candle lamp', 'lamp', 'flower lamp', 'candle lamps', 'gold lamp']",4275.013333333333,133791.0,"['lamp', 'lamps', 'candle lamp', 'flower lamp', 'heat lamp']",65.25,3762.0,"['lamp gift', 'lamp with candle', 'candle wax lamp', 'lamp candle holder', 'candle warner lamp']",43.61333333333334,969,60000.0,1377,18.36
candle lamp,2497.6953846153847,470780.0,"['candle warmer lamp', 'candle lamp warmer', 'lamp candle warmer', 'funistree candle warmer lamp', 'flower candle warmer lamp']",2155.48,470780.0,"['candle warmer lamp', 'candle lamp warmer', 'lamp candle warmer', 'candle warmer lamp bulb', 'candle warming lamp']",40.34507042253521,2075.0,"['heat lamp candle', 'candle warmer lamp glass shade', 'candle warmer lamp clear', 'loowoko candle warmer lamp', 'candle warmer lamp glass']",28.44923076923077,2937,10000.0,4255,13.092307692307692
candle warmer,1556.1666666666667,34901.0,"['candle warmer lamp with timer', 'blackyuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass ', 'candle warmer with timer', 'wax warmer with timer', 'candle lamp warmer with timer']",1192.5,34901.0,"['candle warmer lamp with timer', 'candle warmer with timer', 'candle lamp warmer with timer', 'yuichoy candle warmer lamp with timer', 'candle warmer lamps with timer']",81.0909090909091,3126.0,"['candle warming lamp with timer', 'candle warmer lamp with timer 2 pack', 'white candle warmer lamp with timer', 'candle lamps with timer', 'candle warmer lamp adjustable height with timer']",29.016666666666666,660,20000.0,715,11.916666666666666
electric candle warmer,721.7548638132296,26930.0,"['gu10 c 110v 50w candle warmer', 'candle warmer plate', 'cupcakes and cashmere candle warmer', 'candle warmer', 'gu10+c 110v 50w candle warmer']",1308.8677042801557,196445.0,"['candle warmer', 'candle warmer plate', 'candle warmers', 'electric candle warmer', 'battery operated candle warmer']",67.73008849557522,3141.0,"['cozyberry candle warmer', 'coffee mug candle warmer', 'candle warmer etc', 'candle warmer lam', 'owl candle warmer']",20.06225680933852,2021,30000.0,2890,11.245136186770427
gift,96.22033898305085,4541.0,"['house warming gifts new home', 'perfect housewarming gifts', 'best housewarming gifts 2024', ""gifts for women in their 60's"", 'birthday gifts for women']",2246.1977401129943,132890.0,"['birthday gifts for women', 'house warming gifts new home', 'gift for women', 'best housewarming gifts 2024', 'cute gifts for women']",109.64285714285714,3000.0,"['last minute gift', '50 gifts women', 'gifts for bedroom', 'trending gifts for her', 'meaning full gifts']",38.898305084745765,1195,200000.0,2700,15.254237288135593
house decor,563.3418803418804,15749.0,"['nancy meyers home decor', 'coastal granddaughter room decor', 'dark academia decor', 'whimsigoth decor', 'croquette aesthetic room decor']",8711.547008547008,323599.0,"['room decor', 'home decor', 'home', 'bedroom decor', 'decor']",7.2155172413793105,586.0,"['pretty home decor', 'home decor under 25', 'home gofts', 'cottage bedroom decor', 'eccentric decor']",45.504273504273506,1722,300000.0,3100,26.495726495726494
lampara,5121.921568627451,140000.0,"['skjrvrh', 'voluspa candle', 'malbella essentials', 'volcano candle', 'candle lighter']",6040.5392156862745,196407.0,"['candles', 'candle', 'candle lighter', 'candle holder', 'regalos para mujer']",39.76,695.0,"['calentador de cafe', 'elvis candle', 'flameless candle burner', 'regalos para mujer navidad', 'candle soot catcher']",88.81372549019608,1823,80000.0,2115,20.735294117647058
mom gift,65.07777777777778,1249.0,"['mother in law gifts', 'gifts for mother in law', 'mom christmas gifts', 'cool gifts for a new mom', 'last minute gifts for mother in law']",2881.366666666667,48764.0,"['mom christmas gifts', 'mother in law gifts', 'mom gifts for christmas', 'christmas gift for mom', 'gifts for mother in law']",82.98863636363636,1345.0,"['last minute christmas gifts for mom', 'gifts for moms on amazon', 'chritmas presents for mom', 'new mom christmas gifts', 'for mom christmas gifts']",92.53333333333333,870,100000.0,1690,18.77777777777778
mug warmer,2631.730769230769,57093.0,"['mug warmer', 'coffee mug warmer', 'coffee warmer', 'coffee cup warmer', 'cup warmer']",2604.346153846154,57093.0,"['mug warmer', 'coffee mug warmer', 'coffee warmer', 'coffee cup warmer', 'cup warmer']",91.28947368421052,1938.0,"['cadle warmer', 'cup watmer', 'cozyberry', 'coffee warmer desk', 'house warming presents']",73.62820512820512,1132,200000.0,1239,15.884615384615385
wax warmer,1060.8222222222223,21165.0,"['wax warmer', 'wax melt warmer', 'wax melter', 'wax warmer for scented wax', 'yankee candle wax melts']",2535.6814814814816,84661.0,"['wax warmer', 'wax melts', 'wax melt warmer', 'wax warmer for scented wax', 'wax melter']",5.074626865671642,848.0,"['candle wax melter warmer', 'wax melt warmer with timer and auto shut off', 'lamp wax melt warmer', 'valentines day wax melt warmer', 'electric wax melt warmers']",54.1037037037037,1555,20000.0,2003,14.837037037037037
