关键词词组,关键词销量,Magnet IQ得分,搜索量,搜索量趋势,竞品数,CPR,Cluster
birthday gift mom,1,4.0,375.0,-8.0,100000.0,8,mom gift
birthday gifts for woman,1,2.0,317.0,-18.0,200000.0,8,gift for women
gender neutral gift,1,30.0,241.0,371.0,8000.0,8,gift for women
top women gifts,1,3.0,265.0,59.0,100000.0,8,gift for women
mom gifts for birthday,1,6.0,581.0,9.0,100000.0,9,mom gift
home decor gold,1,4.0,375.0,15.0,100000.0,8,home decor
home decor vintage,1,4.0,424.0,2.0,100000.0,8,home decor
aromatherapy lamp,1,439.0,439.0,35.0,1000.0,8,aromatherapy
best housewarming gifts for new home,1,6.0,259.0,2.0,40000.0,8,house warming
home decor black,1,4.0,359.0,-10.0,100000.0,8,home decor
candle decor,1,15.0,1162.0,3.0,80000.0,26,wax warmer
candle jar warmer,1,330.0,330.0,21.0,1000.0,8,wax warmer
led candle warmer,1,321.0,265.0,,825.0,8,wax warmer
office decor women,1,5.0,380.0,4.0,70000.0,8,home decor
aroma lamp,1,324.0,324.0,106.0,1000.0,8,aromatherapy
fairy light lamp,1,86.0,429.0,0.0,5000.0,8,aromatherapy
lamp vintage,1,32.0,645.0,-25.0,20000.0,10,aromatherapy
spa bathroom accessories,1,40.0,400.0,-12.0,10000.0,8,home decor
candles light,1,13.0,259.0,-17.0,20000.0,8,wax warmer
top womens gifts,1,4.0,352.0,27.0,100000.0,8,gift for women
elegant home decor,1,6.0,644.0,10.0,100000.0,10,home decor
large jar candle warmer,1,349.0,349.0,62.0,1000.0,8,wax warmer
birthday present for women,1,2.0,244.0,-3.0,100000.0,8,gift for women
candle melter warmer,1,136.0,271.0,-7.0,2000.0,8,wax warmer
battery powered candle warmer,1,815.0,698.0,-20.0,856.0,10,wax warmer
gifts for women home,1,3.0,268.0,730.0,100000.0,8,gift for women
gifts for women home decor,1,1.0,235.0,203.0,200000.0,8,gift for women
host gifts for women,1,113.0,340.0,-3.0,3000.0,8,gift for women
stone lamp,1,1706.0,1232.0,-8.0,722.0,27,aromatherapy
meaning full gifts,1,25.0,250.0,735.0,10000.0,8,other gift
swan lamp,1,1174.0,365.0,-11.0,311.0,8,aromatherapy
shabby chic lamp,1,1046.0,413.0,-10.0,395.0,8,aromatherapy
remembering dad,1,247.0,247.0,182.0,1000.0,8,other gift
vintage small lamp,1,58.0,348.0,-5.0,6000.0,8,aromatherapy
cottage bedroom decor,1,32.0,324.0,83.0,10000.0,8,home decor
vintage retro decor,1,3.0,289.0,1.0,100000.0,8,home decor
wax lamp warmer,1,418.0,418.0,11.0,1000.0,8,candle warmer
glam home decor,1,36.0,359.0,10.0,10000.0,8,home decor
whimsical home decor,1,17.0,516.0,-3.0,30000.0,9,home decor
girly home decor,1,107.0,644.0,7.0,6000.0,10,home decor
