关键词词组,关键词销量,Magnet IQ得分,搜索量,搜索量趋势,竞品数,CPR,Cluster
mother christmas gifts,206,39.0,3924.0,124.0,100000.0,29,mom gift
presents,28,18.0,1756.0,-3.0,100000.0,27,gift
new job gifts,7,10.0,416.0,31.0,40000.0,8,gift
new mom gift,72,24.0,1661.0,21.0,70000.0,27,mom gift
gifts for women for christmas,17,6.0,581.0,41.0,100000.0,9,gift
mother in law gifts,824,1249.0,24972.0,159.0,20000.0,56,mom gift
christmas mom gifts,40,8.0,821.0,73.0,100000.0,11,mom gift
trendy christmas gifts,2,3.0,238.0,-37.0,80000.0,8,gift
gift for christmas for women,20,3.0,644.0,112.0,200000.0,10,gift
funky house decor,1,78.0,389.0,-1.0,5000.0,8,house decor
chritmas presents for mom,3,4.0,389.0,182.0,90000.0,8,mom gift
regalos para mujer navidad,71,372.0,3724.0,313.0,10000.0,29,lampara
mom christmas gift,77,17.0,1652.0,42.0,100000.0,26,mom gift
gifts for moms on amazon,1,13.0,259.0,1283.0,20000.0,8,mom gift
skjrvrh,6,140000.0,280.0,9.0,2.0,8,lampara
house gifts,143,47.0,4666.0,95.0,100000.0,30,gift
antique,24,31.0,3120.0,29.0,100000.0,39,house decor
birthday gift woman,9,2.0,341.0,-19.0,200000.0,8,gift
birthday presents for mom,19,5.0,517.0,-31.0,100000.0,9,mom gift
mom christmas gifts,408,488.0,48764.0,80.0,100000.0,83,mom gift
gift for mother in law,161,211.0,4228.0,143.0,20000.0,29,mom gift
antique decor,47,83.0,6645.0,21.0,80000.0,32,house decor
gift for home,27,6.0,1234.0,158.0,200000.0,26,gift
gift for mom christmas,41,12.0,1160.0,53.0,100000.0,26,mom gift
dorm gifts,3,5.0,381.0,41.0,70000.0,8,gift
dresser decor,5,63.0,3760.0,-5.0,60000.0,29,house decor
top rated gifts,6,10.0,304.0,28.0,30000.0,8,gift
eccentric decor,2,591.0,400.0,44.0,677.0,8,house decor
christmas ideas for mom,14,9.0,426.0,6.0,50000.0,8,mom gift
