"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
candle warmer lamp,蜡烛暖灯,Y,23.30%,自然搜索词/AC推荐词/HR推荐词/视频广告词/SP广告词,"2,612,118 ",10 ,B0CFLRBTYN/B0CZ9F35PT/B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,88,"1,205,747 ","31,228 ",2.59%,"30,949,803 ","482,240 ",708 ,63 ,"1,355 ",889.9 ,606 ,18.2%,11.8%,$1.51,$1.26 - $1.87,B0CDRDK6MR,7.8%,4.4%,B0CQQLYD3W,5.6%,4.4%,B0DDX8MYKQ,4.8%,3.0%,"B0CTJGJL2T,B0DK97H5R8,B0DMV8BWDR,B0BWJRJYS7,B0D7W2FZ8Y,B0DMVCJB5J,B0DPBYMY3G,B0CGXDP73D,B0CP95C852,B0DMVBLYM8"
candle warmer,蜡烛加热器,Y,8.29%,自然搜索词/AC推荐词/HR推荐词/视频广告词/SP广告词,"929,428 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0CFLRBTYN,519,"545,409 ","14,944 ",2.74%,"12,154,626 ","244,829 ",339 ,74 ,"37,696 ",14.5 ,315 ,21.9%,16.3%,$1.15,$0.79 - $1.66,B09YCVYCQ2,11.5%,10.3%,B0CDRDK6MR,6.2%,3.3%,B0CG8MNCYS,4.2%,2.7%,"B0BWJRJYS7,B0CTJGJL2T,B0CGZS5129,B0BXFGV3C5,B0C2771TLS,B09YCVYCQ2,B0CQQLYD3W,B0CHN15LWF,B0CG8MNCYS,B0D9HPTW4G"
home decor,家居装饰,,3.67%,自然搜索词/视频广告词,"411,832 ",10 ,B0CTJGJL2T/B0DDX8MYKQ/B0CXJ9338V/B0CQQLYD3W/B0CDRDK6MR/B0CGZS5129/B0C27FG8L9/B0CFLRBTYN/B0CZ9F35PT/B0C2771TLS,473,"662,796 ","1,988 ",0.30%,"14,684,088 ","299,842 ",46 ,42 ,"150,424 ",4.4 ,"1,276 ",11.5%,8.4%,$0.91,$0.57 - $1.32,B0CFGYFCYL,5.5%,4.6%,B0CPPVH7KF,3.7%,2.9%,B09ZRT5QPG,2.4%,0.9%,"B0DHPNVZNP,B0B57CB5WK,B0DMNFFLBM,B0DD3MBZ9G,B0DKS4WR3Q,B0DMNDKHRX,B0DMW5QQ6Q,B0DDXTCL3P,B0DHX4463T,B0DJ757YQV"
gifts for women,女士礼物,,2.48%,自然搜索词,"278,010 ",6 ,B0CDRDK6MR/B0DDX8MYKQ/B0C27FG8L9/B0C2771TLS/B0CGZS5129/B0CZ9F35PT,113,"1,357,158 ","16,014 ",1.18%,"27,637,952 ","577,191 ",363 ,34 ,"221,327 ",6.1 ,861 ,10.7%,3.0%,$2.00,$1.25 - $2.49,B0CRMZ9PFR,4.6%,0.9%,B07GBFT6Z3,3.2%,1.5%,B0C7QZP3CS,2.9%,0.6%,"B07N6W7RPC,B097BSKN9P,B07GWM1RD4,B08GHNRG5Q,B0BX92ZT75,B0CHMDT2FM,B0BPX6DNRG,B0CJYN69ZY,B07SM61FCT,B01MTR6RR0"
candle warmer lamp with timer,带定时器的暖烛灯,Y,1.92%,自然搜索词/AC推荐词/HR推荐词/视频广告词/SP广告词,"215,354 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CFLRBTYN/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"6,983","86,864 ","2,718 ",3.13%,"2,429,092 ","37,342 ",62 ,50 ,"1,178 ",73.7 ,326 ,12.8%,7.7%,$1.57,$1.17 - $1.96,B0CDRDK6MR,6.2%,3.2%,B0CQQLYD3W,3.7%,2.4%,B0CTJGJL2T,3.0%,2.1%,"B0CTJGJL2T,B0BWJRJYS7,B0CCYCBRSK,B0CHN15LWF,B0CP95C852,B0C2771TLS,B0D6W284LH,B0D9HPTW4G,B0036FQDA2,B0CDRDK6MR"
gifts for mom,给妈妈的礼物,,1.90%,自然搜索词,"213,354 ",5 ,B0CDRDK6MR/B0CGZS5129/B0C2771TLS/B0C27FG8L9/B0CZ9F35PT,306,"645,300 ","8,324 ",1.29%,"17,941,924 ","289,184 ",189 ,28 ,"165,873 ",3.9 ,506 ,10.9%,5.8%,$1.87,$1.40 - $2.34,1081439793,5.0%,2.9%,B07GBFT6Z3,3.6%,1.9%,B0CV7Z3MLD,2.3%,1.0%,"B07X62WVM4,B0BFHXRG1F,B089D3Q24T,006286310X,1081439793,B07SM61FCT,B0BMQBTC26,B09VHWC5YK,B0C6DH1TKC,B0BR41SJYD"
wax warmer,暖蜡器,Y,1.82%,自然搜索词/AC推荐词/品牌广告词/SP广告词,"203,807 ",7 ,B0CXJ9338V/B0CQQLYD3W/B0CTJGJL2T/B0CDRDK6MR/B0CZ9F35PT/B0CGZS5129/B0DDX8MYKQ,"2,162","279,102 ","4,577 ",1.64%,"5,815,893 ","137,878 ",106 ,50 ,"4,808 ",58.1 ,180 ,18.7%,10.1%,$0.80,$0.60 - $1.00,B09KTPL1F3,6.9%,3.5%,B09WZWWT8S,6.4%,5.4%,B0CXPNMZ52,5.4%,1.2%,"B0D5GF7PMV,B0CXJ9338V,B09BVR2Q9N,B09WZWWT8S,B0BWJRJYS7,B0CDRDK6MR,B0BZ7ZDVRW,B0D46X92XT,B01N9Y6077,B0BXXFPK2D"
candle lamp,蜡烛灯,Y,1.44%,自然搜索词/AC推荐词/HR推荐词/视频广告词/SP广告词,"161,851 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN,"9,745","77,773 ","2,387 ",3.07%,"1,961,135 ","34,740 ",55 ,60 ,"1,481 ",52.5 ,308 ,17.9%,10.8%,$1.60,$1.28 - $1.80,B0CDRDK6MR,8.1%,4.4%,B0DDX8MYKQ,5.7%,3.8%,B0CQQLYD3W,4.1%,2.7%,"B0DDXH1NV9,B0DMV8BWDR,B0DMPRYF59,B0DCFQPPNH,B0CTJGJL2T,B0DMP42NNS,B0BWJRJYS7,B0DMP73S2Z,B0D8JH8PKN,B0DMP6Z6S2"
room decor,房间装饰,,1.32%,自然搜索词,"148,137 ",5 ,B0C2771TLS/B0CGZS5129/B0CDRDK6MR/B0CXJ9338V/B0C27FG8L9,320,"701,832 ","1,894 ",0.27%,"15,958,499 ","329,546 ",43 ,31 ,"160,831 ",4.4 ,922 ,15.4%,14.1%,$1.09,$0.76 - $1.40,B09ZXJDSL5,6.6%,4.4%,B0C2MHG632,4.8%,7.0%,B0BXY61MQT,4.1%,2.7%,"B0D4DJ6BRR,B099ZRCGWW,B09FK1GSXY,B0BPLB81LX,B0BQHV84H6,B09Y8SV5RY,B0BY8Z72BJ,B0932M1666,B09V7M9DSK,B09V366BDY"
candle lamp warmer,蜡烛灯加热器,Y,1.30%,自然搜索词/AC推荐词/HR推荐词/视频广告词/SP广告词,"146,056 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CFLRBTYN/B0CDRDK6MR,"11,558","64,517 ","2,277 ",3.53%,"1,539,084 ","25,871 ",52 ,25 ,"1,338 ",48.2 ,200 ,18.2%,11.5%,$1.65,$1.22 - $2.04,B0CDRDK6MR,8.5%,4.8%,B0DDX8MYKQ,5.0%,3.3%,B0CQQLYD3W,4.7%,3.4%,"B0CGXDP73D,B0CTJGJL2T,B0DM4BZ68Q,B0BWJRJYS7,B0DDW9995N,B0CGZS5129,B0DDSRVGV8,B0DG3Q59KY,B0CT274BX5,B0DM1MDZWH"
