词语,出现频次,,,
candle,"1,661 ",,,
gifts,"1,573 ",,,
lamp,"1,492 ",,,
warmer,"1,211 ",,,
decor,"1,177 ",,,
gift,612 ,,,
christmas,605 ,,,
women,548 ,,,
home,511 ,,,
room,288 ,,,
mom,262 ,,,
bedroom,256 ,,,
wax,245 ,,,
candles,208 ,,,
ideas,192 ,,,
lamps,192 ,,,
light,169 ,,,
timer,153 ,,,
aesthetic,151 ,,,
cute,147 ,,,
vintage,147 ,,,
day,137 ,,,
best,135 ,,,
birthday,134 ,,,
unique,129 ,,,
house,121 ,,,
table,116 ,,,
new,105 ,,,
flower,104 ,,,
kitchen,95 ,,,
desk,92 ,,,
electric,90 ,,,
office,80 ,,,
small,80 ,,,
cozy,79 ,,,
gold,79 ,,,
holder,76 ,,,
mother,75 ,,,
woman,75 ,,,
cool,71 ,,,
black,65 ,,,
glass,62 ,,,
warming,62 ,,,
modern,61 ,,,
mothers,60 ,,,
warm,60 ,,,
white,60 ,,,
melt,56 ,,,
men,53 ,,,
warmers,53 ,,,
womens,53 ,,,
living,52 ,,,
top,52 ,,,
xmas,52 ,,,
boho,50 ,,,
everything,50 ,,,
farmhouse,50 ,,,
adjustable,48 ,,,
her,48 ,,,
jar,48 ,,,
law,48 ,,,
scented,48 ,,,
the,48 ,,,
who,48 ,,,
moms,46 ,,,
set,45 ,,,
under,45 ,,,
apartment,44 ,,,
yankee,43 ,,,
old,41 ,,,
mother's,40 ,,,
elephant,39 ,,,
lights,39 ,,,
pink,39 ,,,
things,39 ,,,
battery,38 ,,,
housewarming,38 ,,,
cordless,37 ,,,
de,36 ,,,
girls,36 ,,,
accessories,35 ,,,
cottage,35 ,,,
family,35 ,,,
para,35 ,,,
sister,35 ,,,
large,34 ,,,
a,33 ,,,
girl,33 ,,,
lantern,33 ,,,
night,33 ,,,
has,32 ,,,
coquette,30 ,,,
from,30 ,,,
couples,29 ,,,
clearance,28 ,,,
amazon,27 ,,,
year,27 ,,,
female,26 ,,,
gofts,26 ,,,
green,26 ,,,
last,26 ,,,
neutral,26 ,,,
velas,26 ,,,
dimmable,25 ,,,
friend,25 ,,,
teen,24 ,,,
dark,23 ,,,
decorative,23 ,,,
essentials,23 ,,,
marble,23 ,,,
adults,22 ,,,
base,22 ,,,
crystal,22 ,,,
melter,22 ,,,
