"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"candle warmer lamp",20.4,11.8,2937,"470,780","470,780",26,0.87,0.62,1.24,539,">1,000",597,1,40,1,1
"candle warmer",23.5,18.9,2021,"6,548","196,445",34,0.8,0.5,1.09,473,">30,000",271,1,41,0,1
"candles",11.1,9.3,1823,"4,910","196,407",-2,1.37,0.82,1.94,729,">40,000",265,0,22,0,1
"home decor",11,7.2,1722,"1,975","197,461",-24,0.8,0.64,0.99,851,">100,000",265,1,18,0,1
"candle lighter",43.1,36.1,1637,"32,060","64,120",3,0.69,0.5,0.96,496,">2,000",108,0,24,0,1
"wax melt warmer",15.6,13.7,1555,"17,247","51,741",-8,0.57,0.32,0.74,514,">3,000",96,1,33,0,1
"wax melts",18.3,14.3,1284,"3,653","73,069",3,0.64,0.44,0.92,593,">20,000",122,0,35,0,1
"room decor",15.2,16.6,1282,"3,236","323,599",-13,0.58,0.42,0.9,766,">100,000",414,0,16,0,1
"candle",14.1,10.7,1214,"6,682","133,642",44,1.47,0.95,1.91,609,">20,000",197,0,43,0,1
"house warming gifts new home",14,6.9,1195,"4,541","45,413",49,1.02,0.73,1.26,495,">10,000",82,1,13,0,0
"coffee warmer",22.4,14.7,1132,"21,301","21,301",57,0.93,0.54,1.09,437,">1,000",57,0,24,0,1
"wax warmer",19.9,12.9,981,"21,165","84,661",-5,0.62,0.37,0.76,508,">4,000",135,1,30,0,1
"lamp",17.9,13.8,969,"6,690","133,791",-28,0.99,0.64,1.08,839,">20,000",199,0,47,0,1
"candle holder",13.5,12.9,925,"4,539","45,389",-26,0.64,0.43,0.87,565,">10,000",89,0,32,0,1
"yankee candle",35.1,29.9,901,"3,809","15,234",72,1.28,0.92,1.68,700,">4,000",43,0,2,0,1
"mom gifts for christmas",11.1,11.9,870,214,"21,445",112,1.44,1.03,1.9,640,">100,000",50,1,1,0,0
"yankee candles clearance",29.1,28.3,852,"12,495","24,989",21,1.2,0.72,1.45,687,">2,000",54,0,0,0,1
"candle lamp warmer",19.8,12.6,826,"22,423","22,423",60,0.89,0.56,1.21,476,">1,000",55,1,14,1,1
"mother in law gifts",11.3,9.3,824,"1,249","24,972",159,1.17,0.89,1.53,681,">20,000",56,1,6,0,0
"christmas gift for mom",12.8,7.5,804,170,"16,975",123,1.43,1.04,1.85,576,">100,000",44,1,0,0,0
"wax warmer for scented wax",14.7,12.3,691,"6,338","19,015",-14,0.67,0.47,0.92,534,">3,000",49,1,7,0,0
"candle warmer lamp with timer",13.2,8.6,660,"34,901","34,901",69,0.84,0.56,1.18,528,">1,000",75,1,28,1,1
"lamps",12.5,4.4,633,"2,753","55,052",-33,0.77,0.63,1.05,771,">20,000",98,0,26,0,1
"new mom gifts",23.6,12,616,205,"14,328",76,1.3,0.83,1.61,544,">70,000",44,1,9,0,0
"candle warmer lamp bulb",54.1,44.3,545,"3,321","6,642",-1,1.06,0.93,1.26,641,">2,000",33,0,2,1,1
"voluspa candle",26.4,21.5,532,"66,650","12,197",44,1.4,0.99,1.79,510,183,39,0,0,0,1
"birthday gifts for women",64.8,5.6,480,664,"132,890",-23,1.07,0.6,1.45,489,">200,000",190,1,25,0,0
"bedroom decor",12.3,7.7,468,846,"84,642",-13,0.6,0.33,0.89,"1,013",">100,000",126,0,3,0,1
"gifts for mother in law",13.1,5.9,460,776,"15,528",103,1.29,1,1.59,804,">20,000",44,1,3,0,0
"wax melter",15.5,11.3,452,"7,771","15,541",-8,0.6,0.44,0.86,507,">2,000",53,0,32,0,1
