"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"banbanda candle warmer lamp",,,12,"3,253",283,"n/a",,,,86,87,8,1,0,1,0
"aifei candle warmer lamp with timer",,,15,"3,652",241,-7,,,,149,66,8,1,0,1,0
"loowoko christmas candle warmer lamp",,,23,"2,671",219,"n/a",0.95,0.72,1.21,106,82,8,1,0,1,0
"hong in candle warmer lamp",68,50,11,"1,610",235,21,1.13,0.8,1.49,318,146,8,1,0,1,0
"candle warmer lamp under 25",,,8,"1,888",253,186,,,,162,134,8,1,0,1,0
"antique candle warmer lamp",,,6,"1,399",256,-16,,,,125,183,8,1,0,1,1
"candle warmer lamp brushed nickel",,,2,"2,189",324,6,,,,185,148,8,1,0,1,1
"candle warmer lamp with remote",26.4,19.1,17,"3,411",764,-2,0.83,0.62,1.18,379,224,11,1,2,1,1
"candle for warmer lamp",28.6,20,6,415,415,30,1.1,0.81,1.33,271,">1,000",8,1,0,1,0
"candle warmer lamp dimmable timer",,,10,246,238,2,,,,154,">966",8,1,1,1,1
"a candle warmer lamp",48,8.3,34,"3,125","3,125",37,1.02,0.77,1.27,439,">1,000",28,1,0,1,0
"electric lamp candle warmer",,,4,228,228,34,,,,344,">1,000",8,1,1,1,0
"marble candle warmer lamp",40,,1,636,344,84,,,,306,">541",8,0,1,1,1
"marycele candle warmer lamp with timer",67.2,25,6,"1,074",580,17,0.93,0.7,1.29,339,540,9,1,0,1,0
"candle warmer lamps with timer",12.5,8.6,51,"1,655","1,655",58,0.86,0.58,1.18,420,">1,000",26,1,0,1,0
"candles warmer lamp",26.6,40,15,698,698,34,0.96,0.74,1.36,445,">1,000",10,1,0,1,0
"candle warmer with lamp",20.7,,7,384,384,34,1.13,0.77,1.4,402,">1,000",8,1,0,1,1
"candle warmer lamp blue",25.9,,13,839,439,26,0.87,0.58,1.13,304,523,8,0,0,1,1
"candle lamps warmer",15.8,12.5,28,"1,050","1,050",61,0.97,0.74,1.32,482,">1,000",25,1,0,1,0
"zukakii candle warmer lamp",,,14,500,265,54,1.1,0.87,1.26,241,530,8,1,0,1,1
"candle warmer lamp lantern",63.9,16.7,2,554,359,5,0.91,0.75,1.43,375,">648",8,1,1,1,1
"best candle warmer lamp",27.5,,2,356,356,15,,,,243,">1,000",8,1,0,1,1
"aimoptg candle warmer lamp",100,66.7,6,797,416,34,1,0.71,1.2,354,522,8,1,0,1,1
"candle warmer lamp gold and white",,,1,247,247,"n/a",,,,134,"1,000",8,1,0,1,0
"candle warmer lamp bulb",54.1,44.3,545,"3,321","6,642",-1,1.06,0.93,1.26,641,">2,000",33,0,2,1,1
"farmhouse candle warmer lamp with timer",38.7,,5,608,349,-7,,,,171,574,8,1,0,1,0
"christmas candle warmer lamp",,,9,576,424,-33,0.95,0.8,1.4,539,">736",8,1,5,1,0
"candle warmer lamp tigqiang",,,7,508,277,56,,,,171,545,8,1,0,1,0
"candle warmer lamp with timer dimmer adjustable height",,,25,396,280,-12,,,,177,">707",8,1,3,1,0
"lamp with candle warmer",24.3,14.3,8,421,421,6,0.96,0.69,1.29,296,">1,000",8,1,0,1,1
"cute candle warmer lamp",28.3,16.7,2,623,402,7,0.93,0.62,1.14,344,645,8,1,0,1,1
"black and gold candle warmer lamp",41.9,50,8,694,372,129,,,,271,536,8,1,0,1,0
"candle warmer lamp set",,,1,278,228,91,,,,250,">821",8,1,0,1,1
"candle warmer lamp",20.4,11.8,2937,"470,780","470,780",26,0.87,0.62,1.24,539,">1,000",597,1,40,1,1
"candle warmer lamp rustic",36.1,16.7,8,722,434,14,0.89,0.63,1.18,359,601,8,1,0,1,1
"candle warmer lamp rustic farmhouse",24.1,25,2,651,330,15,,,,324,507,8,1,0,1,1
"candle warmers lamp with timer",20.6,14.3,2,644,644,83,0.97,0.75,1.42,267,">1,000",10,1,0,1,0
"candle warmer lamp cheap",32.3,,4,81,407,-7,1.03,0.87,1.1,193,">5,000",8,1,0,1,0
"maoyue candle warmer lamp",,,15,452,238,74,0.94,0.64,1.16,332,526,8,1,0,1,1
"loowoko candle warmer lamp",,,4,455,235,306,0.92,0.73,1.16,209,517,8,1,0,1,0
"candle warmer lamp men",,,13,715,396,-12,,,,168,554,8,1,0,1,1
"mini candle warmer lamp",29,25,5,680,365,99,,,,227,537,8,1,0,1,1
"euaonya candle warmer lamp",,,7,683,349,235,0.94,0.89,1.22,174,511,8,1,0,1,0
"sokcvsea fragrance candle warmer lamp",,,8,528,280,-71,0.83,0.63,1.2,290,530,8,1,0,1,0
"cloud candle warmer lamp",88.2,50,4,553,364,40,0.8,0.68,0.89,255,658,8,1,0,1,1
"candle warmer lamp glass",32.1,50,2,487,311,274,1.17,0.88,1.32,164,">638",8,1,0,1,1
"nonvjj candle warmer lamp",,,7,485,247,30,,,,226,509,8,1,0,1,1
"geezo fragrance candle warmer lamp，electric candle warmer with timer & dimmer，mom christmas birthday",,,18,448,225,-11,,,,195,502,8,1,0,1,0
"lighted candle warmer lamp",,,2,648,357,-4,,,,260,551,8,1,0,1,1
"light for candle warmer lamp",43.4,52.4,11,428,428,13,,,,245,">1,000",8,1,0,1,0
"godonlif candle warmer lamp with timer",,,24,337,256,2,,,,122,759,8,1,0,1,0
"candle warmer lamp color changing",,,13,454,280,-5,,,,165,617,8,1,0,1,0
"candle warmer lamp flower",38,34.2,40,"3,960","2,194",13,0.72,0.52,0.96,501,554,27,1,0,1,1
"farmhouse candle warmer lamp",22.7,18.7,41,"3,299","1,940",37,0.75,0.52,1.06,481,588,27,1,0,1,1
"heat lamp candle warmer",34,,5,429,383,16,,,,294,">893",8,1,0,1,1
"erumpere candle warmer lamp",,,27,541,289,36,,,,301,534,8,1,1,1,1
"candle warmer lamp masculine",,,1,368,256,"n/a",,,,108,695,8,1,0,1,0
"2 pack candle warmer lamp",48,33.3,4,437,437,47,0.92,0.68,1.17,352,">1,000",8,0,3,1,1
"candle warmer lamp bath and body works",30.6,,5,734,402,85,,,,316,548,8,1,0,1,0
"candle warmer lamp for large candles",30.8,20,10,436,436,13,0.99,0.7,1.34,274,">1,000",8,1,0,1,0
"candle warmer adjustable lamp",,,8,140,280,"n/a",,,,102,">2,000",8,1,1,1,0
"black candle warmer lamp",27.2,32.9,97,"3,701","2,698",82,0.91,0.66,1.15,426,">729",28,1,2,1,1
"ulg 2 pack candle warmer lamp with dimmer",,,9,522,265,-10,1.04,0.76,1.31,197,508,8,1,0,1,0
"candle warmer lamp with timer adjustable height",,,16,362,289,"n/a",,,,87,">799",8,1,0,1,0
"candle warmer lamp glass shade",,,17,384,238,539,,,,195,620,8,1,0,1,1
"candeldo candle warmer lamp",34.1,40,5,772,423,-57,0.88,0.72,1.12,291,548,8,1,0,1,1
"candle warmer lamp godonlif",,,13,528,283,-6,,,,127,536,8,1,0,1,0
"skjrvrh candle warmer lamp",,,11,536,280,"n/a",,,,60,522,8,1,0,1,1
"godonlif candle warmer lamp",67.2,72,35,"1,923","1,050",-9,0.91,0.69,1.13,391,546,25,1,0,1,1
"candle warmer lamp for large yankee jar candles",,,2,450,259,11,,,,185,576,8,1,0,1,0
"black lamp candle warmer",,,3,363,271,29,,,,267,">746",8,1,0,1,0
"pink flower candle warmer lamp",59,33.3,5,638,241,"n/a",,,,130,378,8,1,0,1,0
"seenlast candle warmer lamp with timer dimmer adjustable",,,17,435,235,-16,,,,242,540,8,1,0,1,0
"large candle warmer lamp",18.1,,2,516,516,26,0.98,0.69,1.33,283,">1,000",9,1,0,1,1
"bronze candle warmer lamp",30.6,,4,630,354,-1,,,,146,562,8,1,1,1,1
"yohonk candle lamp warmer",78.6,66.7,11,"1,109",581,"n/a",0.97,0.76,1.19,106,524,9,1,0,1,0
"briever dimmable candle warmer lamp with timer, height adjustable electric candle wax warmer for jar",,,11,551,286,"n/a",,,,79,519,8,1,0,1,0
"candle warmer lamp skjrvrh",,,9,480,256,"n/a",,,,102,533,8,1,0,1,0
"yuichoy candle warmer lamp with timer",87.7,72.7,14,"3,738","1,940",20,0.83,0.64,1.09,371,519,27,1,0,1,0
"hestia candle warmer lamp",,,8,403,213,136,1.3,0.96,1.67,228,529,8,1,0,1,0
"candle warmer lamp clear glass",,,1,361,280,"n/a",,,,160,775,8,1,0,1,1
"geezo fragrance candle warmer lamp",79.8,72.9,29,"1,347",698,-3,0.97,0.61,1.07,430,518,10,1,0,1,1
"lukasa candle warmer lamp",66.7,54.5,8,727,391,-19,0.96,0.75,1.29,250,538,8,1,0,1,0
"candle warmer lamp black",24.7,24.5,56,"4,298","3,116",58,0.88,0.64,1.17,519,">725",29,1,2,1,1
"candle warmer lamp silver",32.7,7.1,22,"2,574","1,431",16,0.76,0.59,1.05,619,556,26,1,0,1,1
"candle warmer lamp adjustable",26.2,16.7,24,739,698,102,0.9,0.61,1.21,365,">945",10,1,3,1,0
"funistree candle warmer lamp",76.9,,13,"7,262","1,053",28,0.9,0.69,1.19,348,145,25,1,0,1,0
"candle warmer lamp boho",38.5,25,1,657,354,21,,,,322,539,8,1,0,1,1
"candle warmer lamp crystal",46.7,,1,697,388,32,,,,285,">557",8,1,0,1,1
"malbella essentials candle warmer lamp",79.3,,7,501,354,99,,,,167,706,8,1,0,1,1
"lamp candle warmer black",,,5,253,253,"n/a",,,,95,">1,000",8,1,0,1,0
"candle warmer lamp brown",,,2,505,283,1,,,,167,560,8,1,0,1,1
"trademark candle warmer lamp",32.1,100,2,829,437,-1,0.86,0.67,1.13,152,527,8,1,0,1,1
"rose gold candle warmer lamp",38.5,66.7,1,623,320,90,,,,255,514,8,1,0,1,1
"nvrgiup candle warmer lamp",,,13,495,262,14,,,,327,529,8,1,0,1,0
"soilsiu candle warmer lamp with timer",,,4,677,352,65,,,,216,520,8,1,0,1,0
"candle warmer lamp for teen girls",,,4,625,324,18,0.89,0.68,1.27,216,518,8,1,0,1,0
"candle warmer lamp brass",,,7,343,262,1,,,,158,764,8,1,0,1,1
"sunflower candle warmer lamp",,,9,342,216,"n/a",,,,134,631,8,1,0,1,0
"lamp candle warmer for jar candles",36.1,9.1,53,"3,125","3,125",43,0.84,0.57,1.19,553,">1,000",29,1,2,1,0
"candle warmer lamp 3 wick",50,12.5,5,658,388,18,0.99,0.69,1.19,302,590,8,1,0,1,1
"candle warmer lamp with timer adjustable",,,4,336,311,"n/a",,,,122,">925",8,1,0,1,0
"nawaza candle warmer lamp",,,15,525,277,"n/a",,,,110,528,8,1,0,1,0
"candle warmer lamp farmhouse style",17.8,,6,"1,154",644,31,0.84,0.6,1.14,445,558,10,1,0,1,1
"candle lamp warmer black",39.4,33.3,4,483,359,99,,,,304,">744",8,1,0,1,0
"candle warmer lamp with dimmer",17.4,25,3,863,698,54,0.9,0.62,1.19,332,">809",10,1,3,1,1
"imenlox dimmable candle warmer lamp",,,15,489,253,-27,,,,135,517,8,1,0,1,1
"candle warmer lamps",47.9,12.2,54,"1,660","1,660",-19,0.94,0.64,1.25,579,">1,000",26,1,0,1,0
"novamer candle warmer lamp",,,10,429,228,31,,,,163,531,8,1,0,1,1
"wood candle warmer lamp",48.4,,1,454,319,100,,,,253,">702",8,1,2,1,0
"candle warmer lamp with timer black",42.4,16.7,2,470,381,18,,,,202,">810",8,1,0,1,0
"cordless candle warmer lamp",31.9,,8,"1,816","1,384",-1,0.85,0.65,1.15,682,">762",26,1,0,1,1
"engpure candle warmer lamp",78.8,57.2,13,779,408,24,0.96,0.72,1.27,257,524,8,1,0,1,1
"candle warmer lamp retro",,,1,356,213,-19,,,,95,">598",8,1,0,1,0
"candle warmer lamp timer",21.2,13.9,39,"1,164","1,164",87,0.92,0.7,1.29,487,">1,000",26,1,1,1,1
"flower candle warmer lamp",46.1,28.4,79,"6,806","3,920",1,0.71,0.5,0.98,574,576,32,1,9,1,1
"candle warmer lamp gold",26.9,16.7,20,"1,814","1,159",18,0.92,0.64,1.28,486,">639",26,1,0,1,1
"candle warmer lamp white and gold",,,18,514,271,12,,,,244,527,8,1,0,1,0
"vintage candle warmer lamp",33,,20,"1,789","1,245",47,0.82,0.6,1.15,508,">696",26,1,1,1,1
"candle warmer lamp farmhouse",29.6,,4,641,370,5,,,,362,577,8,1,0,1,0
"toacsucp candle warmer lamp",100,60,13,803,416,1,,,,276,518,8,1,0,1,1
"candles for warmer lamp",47.2,20,1,482,482,5,1.03,0.75,1.37,237,">1,000",9,1,0,1,0
"better homes and gardens candle warmer lamp",,,2,438,235,"n/a",,,,131,537,8,1,0,1,0
"aromatherapy lamp candle warmer",,,4,380,311,46,,,,166,">819",8,1,0,1,1
"candle warmer lamp cute",27.8,,1,538,351,-8,,,,335,653,8,1,0,1,0
"candle warmer lamp adjustable height with timer",36,100,2,436,346,94,0.86,0.61,1.14,262,">794",8,1,0,1,0
"warmer candle lamp",21,,7,396,396,6,,,,280,">1,000",8,1,0,1,0
"briever dimmable candle warmer lamp with timer",75.5,100,19,"1,120",580,40,0.87,0.73,1.16,373,518,9,1,0,1,0
"candle warmer flower lamp",53.7,,3,786,437,4,0.84,0.64,1.16,258,556,8,1,0,1,1
"mikasa candle warmer lamp",48.5,33.3,13,"1,410",764,43,0.93,0.7,1.19,304,542,11,1,0,1,1
"rechargeable candle warmer lamp",34.9,,1,683,388,3,,,,292,568,8,1,0,1,1
"dimmable candle warmer lamp",20.6,12.9,48,"1,594","1,594",41,0.88,0.65,1.23,580,">1,000",29,1,9,1,1
"candle warmer lamp, electric candle lamp warmer with timer, mom christmas birthday gifts for women, ",,,25,417,225,-11,0.76,0.53,0.95,218,540,8,1,2,1,0
"yuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, christmas g",,,1,615,312,-23,,,,205,507,8,1,0,1,0
"candle warmer lamp with candle included",,,11,238,238,-9,,,,139,">1,000",8,1,0,1,0
"candle warmer lamp candles",,,7,392,392,"n/a",,,,125,">1,000",8,1,0,1,0
"marycele candle warmer lamp",76.6,68.6,49,"4,159","2,196",10,0.86,0.62,1.18,557,528,27,1,0,1,1
"glass candle warmer lamp",22.7,30,18,945,762,60,0.9,0.65,1.21,291,">806",11,1,3,1,1
"seen last candle warmer lamp",,,10,576,301,-1,,,,176,523,8,1,0,1,1
"candle warmer electric wax melt lamp",,,5,271,271,-25,,,,165,">1,000",8,1,0,1,0
"lamp candle warmer",22.3,12.8,436,"16,484","16,484",42,0.88,0.61,1.23,448,">1,000",44,1,2,1,0
"candle warmer lamp for jar candles",94.7,,12,222,222,114,1.12,0.9,1.4,291,">1,000",8,1,2,1,0
"candle warmer lamp adjustable height",16.3,9.1,5,"1,012",820,74,0.84,0.61,1.17,333,">810",11,1,2,1,1
"candle warmer lamp with timer, adjustable height candle warmer, dimmable, home decor, wax warmer lam",,,29,480,265,-28,0.95,0.6,1.08,232,552,8,1,0,1,0
"aurora candle warmer lamp",,,2,493,271,28,,,,270,550,8,1,2,1,1
"luzdiosa candle warmer lamp",76.9,66.7,7,437,232,-16,0.94,0.83,1.34,324,531,8,1,0,1,1
"flameless candle warmer lamp",,,1,367,367,71,0.93,0.7,1.1,312,">1,000",8,1,3,1,1
"heated candle warmer lamp",30.6,40,7,448,410,8,1.03,0.73,1.32,207,">916",8,1,0,1,1
"flower lamp candle warmer",47.2,30,11,"1,229",698,36,0.85,0.67,1.16,369,568,10,1,1,1,1
"tiffany style candle warmer lamp",37.5,,2,"2,947",336,6,,,,229,114,8,1,1,1,0
"pretty candle warmer lamp",,,6,735,277,"n/a",,,,129,377,8,1,0,1,1
"candle light warmer lamp",23.5,15.8,27,"1,164","1,164",50,0.91,0.65,1.24,560,">1,000",26,1,0,1,1
"wireless candle warmer lamp",30.4,,1,700,426,3,1.05,0.69,1.34,350,609,8,1,0,1,1
"boho candle warmer lamp",33.3,,1,693,372,20,,,,362,537,8,1,0,1,1
"clearance candle warmer lamp",20.7,100,5,244,244,-9,,,,164,">1,000",8,1,0,1,0
"candle heat lamp warmer",,,3,402,330,"n/a",,,,153,">820",8,1,0,1,1
"light candle warmer lamp",22.7,11.9,71,"2,066","2,066",24,0.86,0.64,1.27,568,">1,000",27,1,0,1,1
"candle warmer lamp wood",28.8,33.3,7,726,516,37,0.76,0.5,0.98,285,">711",9,1,0,1,1
"candle warmer lamp large",23.9,25,1,384,384,51,,,,314,">1,000",8,1,0,1,1
"dimmable flower candle warmer lamp",76.9,83.3,17,"1,358",762,-4,0.96,0.76,1.2,386,561,11,1,3,1,0
"dimmable candle warmer lamp with timer",,,24,262,253,11,,,,259,">966",8,1,4,1,0
"geezo candle warmer lamp",80.6,50,5,695,362,27,0.92,0.61,1.06,187,521,8,1,0,1,0
"wood base candle warmer lamp",29,,7,348,232,-20,,,,142,">666",8,1,0,1,0
"goloza candle warmer lamp",,,1,532,283,"n/a",,,,97,532,8,1,0,1,0
"modern candle warmer lamp",25.3,21,22,"1,451","1,232",80,0.88,0.62,1.27,453,">849",27,1,3,1,1
"candle warmer lamp with timer and dimmer",26.6,11.8,23,716,581,40,0.94,0.68,1.3,359,">811",9,1,4,1,0
"cozyberry candle warmer lamp",75.7,58.3,10,"1,090",581,21,1.03,0.78,1.33,439,533,9,1,0,1,1
"candle warmer lamp marycele",86.5,,3,845,437,2,1.27,0.96,1.54,261,517,8,1,0,1,0
"dimmable flower candle warmer lamp with timer, green candle lamp warmer for jar candle, 2024 womens ",,,2,715,346,18,,,,225,484,8,1,0,1,0
"copinpin candle warmer lamp",69,30,8,"1,014",429,"n/a",0.94,0.74,1.27,109,423,8,1,0,1,0
"candle warmer lamp sale",,,1,358,289,50,,,,265,808,8,1,0,1,1
"dimmable flower candle warmer lamp with timer",,,16,411,222,-7,,,,214,540,8,1,3,1,0
"candle warmer lamp modern",26.9,14.3,10,657,567,15,0.84,0.56,1.18,410,">863",9,1,0,1,1
