"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"aifei candle warmer lamp with timer",,,15,"3,652",241,-7,,,,149,66,8,1,0,1,0
"candle warmer lamp 2 pack",42.5,17.4,34,"1,428","1,428",56,0.86,0.65,1.1,483,">1,000",26,0,0,1,1
"banbanda candle warmer lamp",,,12,"3,253",283,"n/a",,,,86,87,8,1,0,1,1
"white candle warmer lamp",21.8,3.9,37,"1,232","1,232",49,0.7,0.51,0.98,450,">1,000",27,0,4,1,1
"aimoptg candle warmer lamp",100,66.7,6,797,416,34,1,0.71,1.2,354,522,8,1,0,1,0
"electric large candle warmer plate",,,16,213,213,"n/a",,,,137,">1,000",8,1,2,1,0
"coffee and candle warmer",,,12,328,265,119,,,,214,">808",8,1,0,1,0
"candle warmer lantern",30.5,15.4,15,"1,592","1,592",25,0.77,0.53,1.08,569,">1,000",29,0,10,1,1
"candle warmer lamp with timer dimmer adjustable height,mothers day gifts,electric wax warmer vintage",85.7,60,13,512,277,-25,,,,176,541,8,1,1,1,0
"candle light warmer",22.6,15.3,94,"2,693","2,693",62,0.93,0.67,1.29,629,">1,000",28,1,1,1,1
"candle for warmer lamp",28.6,20,6,415,415,30,1.1,0.81,1.33,271,">1,000",8,1,0,1,0
"candle warmer 2 pack",38.2,25,7,208,415,17,0.87,0.64,1.16,308,">2,000",8,0,0,1,1
"lamp candle warmer",22.3,12.8,436,"16,484","16,484",42,0.88,0.61,1.23,448,">1,000",44,1,2,1,0
"electric candle warmer lamp",19.1,7.4,45,"1,428","1,428",21,0.87,0.68,1.32,506,">1,000",27,1,3,1,1
"electric candle warmer plate",,,1,438,274,191,,,,132,">626",8,1,0,1,1
"antique candle warmer lamp",,,6,"1,399",256,-16,,,,125,183,8,1,0,1,0
"adjustable height candle warmer",,,7,298,298,"n/a",,,,101,">1,000",8,1,4,1,1
"candle warmer light",44.1,6.5,57,"2,196","2,196",38,0.93,0.66,1.26,710,">1,000",27,1,1,1,1
"lamp candle warmers",26.9,50,1,333,333,-10,,,,196,">1,000",8,1,1,1,0
"candle warmers lamp with timer",20.6,14.3,2,644,644,83,0.97,0.75,1.42,267,">1,000",10,1,0,1,0
"erumpere candle warmer lamp",,,27,541,289,36,,,,301,534,8,1,1,1,0
"candle warmers lamp",16.2,9.1,49,"1,871","1,871",21,0.93,0.64,1.26,542,">1,000",26,1,0,1,0
"electric candle warmers",26.7,16.7,1,189,378,0,,,,328,">2,000",8,1,0,1,0
"candles warmer lamp",26.6,40,15,698,698,34,0.96,0.74,1.36,445,">1,000",10,1,0,1,0
"candle lamp warmers",,,5,311,311,37,,,,293,">1,000",8,1,0,1,0
"warmer candle",37.5,28.6,5,80,399,4,1.02,0.85,1.56,343,">5,000",8,1,0,1,0
"electric lamp candle warmer",,,4,228,228,34,,,,344,">1,000",8,1,1,1,0
"candle warmer with lamp",20.7,,7,384,384,34,1.13,0.77,1.4,402,">1,000",8,1,0,1,1
"candle warmer lamp under 25",,,8,"1,888",253,186,,,,162,134,8,1,0,1,0
"candle warmer lamp dimmable timer",,,10,246,238,2,,,,154,">966",8,1,1,1,1
"hong in candle warmer lamp",68,50,11,"1,610",235,21,1.13,0.8,1.49,318,146,8,1,0,1,0
"a candle warmer lamp",48,8.3,34,"3,125","3,125",37,1.02,0.77,1.27,439,">1,000",28,1,0,1,0
"briever dimmable candle warmer lamp with timer, height adjustable electric candle wax warmer for jar",,,11,551,286,"n/a",,,,79,519,8,1,0,1,0
"lamp for candle warmer",18.9,18.2,31,"1,242","1,242",53,0.91,0.69,1.24,504,">1,000",26,1,0,1,0
"top down candle warmer",35.5,25,7,587,405,64,0.84,0.55,1.09,356,">690",8,1,0,1,0
"candle warmer lamp for jar candles",94.7,,12,222,222,114,1.12,0.9,1.4,291,">1,000",8,1,2,1,0
"candle warmer lamp with remote",26.4,19.1,17,"3,411",764,-2,0.83,0.62,1.18,379,224,11,1,2,1,1
"candle warmers￼",,,4,57,341,5,,,,224,">6,000",8,1,0,1,0
"modern candle warmer",23.7,,3,598,581,-28,0.91,0.62,1.24,558,">971",9,1,3,1,0
