Keyword,ASIN,Title,流量词类型,自然流量占比,广告流量占比,自然排名,广告排名,月搜索量,点击量,商品数,近7天广告竞品数,转化总占比
gift for musician,B0D4YJ9875,"Light Up Guitar Pick Holder, Acrylic Electric Guitar Headstock Shaped Pick Holder with Wooden Base for Picks Storage and Display, Guitar Accessories Gift for Guitar Players Guitarists",自然搜索词,100%,,72,前3页无排名,140,55,"7,546",64,25.0%
guitar gift,B0D4YJ9875,——,自然搜索词/视频广告词/SP广告词,48%,52%,8,1,677,302,"15,229",37,11.1%
music gift,B0D4YJ9875,——,自然搜索词,100%,,147,前3页无排名,"3,159","1,570","48,166",26,14.3%
,B0CXDDQS9S,"Custom Gold Charm Necklace Personalized Engravable Charms, Unique Holiday Jewelry Gift for Her -P-CHARM-MIX-N,",,,,,,,,,,
,B0CX518JYQ,"Luma - The Patented Glow-in-The-Dark Toy That Flies a Loop of String, Creates Endless Shapes and Tricks Built-in LED for Glowing Fun. Perfect STEM Gift for Kids & Adults. Wonderment Awaits",,,,,,,,,,
,B0CVXGKNV7,"Montessori Busy Board, Personalized Bear Busy Board, Name Puzzle, Learning Toys for 1 Year Old, Sensory Activity, Wooden Baby Toys, Easter Toys, Unique Birthday Gift BB04 (Pastel Girl)",,,,,,,,,,
,B0CV276VQL,"LEGO Marvel Dancing Groot, Guardians of The Galaxy Toy, Buildable Birthday Gift, Marvel Toy, Super Hero Hand-Operated Interactive Playset, Marvel Gift for Kids, Animated Groot Figure, 76297",,,,,,,,,,
,B0CSCWBLFG,BeeGreen Monogrammed Canvas Tote Bag Personalized Gifts for Wedding Birthday Initial Tote Bag for Women Friends Mothers Sisters Teachers Beach Bag (Letter S),,,,,,,,,,
,B0CRPHNZ8F,"Acrylic Dry Erase Board with Light, 13.7""X10"" 6-Color Neon Glow Memo LED Light-Up Message Note Board with Stand as Night Light for Room/Store/Office/Festival/Gift, Touch Control, 7 Markers",,,,,,,,,,
,B0CQC5BVKL,Solar Lanterns Outdoor Waterproof Mushroom Butterfly Garden Decor Gifts for Women Mon Grandma Metal Hanging Solar Lights Decoration for Outside LED Lanterns for Yard Patio Lawn Pathway Landscape,,,,,,,,,,
,B0CPN5P5RR,"Barbie Signature Doll, 2024 Holiday Blonde Fashion Doll Wearing Gown with Plaid Skirt, Seasonal Collector Gift in Displayable Packaging",,,,,,,,,,
,B0CNX7B1VR,"Karaoke Machine for Kids Adults, Mini Portable Bluetooth Karaoke Speaker with 2 Wireless Microphone and Lights, Birthday Gifts for Girls Ages 4, 5, 6, 7, 8, 9, 10, 12+ Family Home Party",,,,,,,,,,
