ASIN,Category,品牌,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销量额 ($)
重复 > 3,,,,,,,,,,,,
重复 <= 3,,,,,,,,,,,,
B0D4YJ9875,"Light Up Guitar Pick Holder, Acrylic Electric Guitar Headstock Shaped Pick Holder with Wooden Base for Picks Storage and Display, Guitar Accessories Gift for Guitar Players Guitarists",CoolGift Mart,Musical Instruments:Instrument Accessories:Guitar & Bass Accessories:Picks & Pick Holders:Pick Holders,Musical Instruments,75,88,54%,Guitar & Bass Pick Holders,1,"2,759",46%,"46,323"
B0CXDDQS9S,"Custom Gold Charm Necklace Personalized Engravable Charms, Unique Holiday Jewelry Gift for Her -P-CHARM-MIX-N,",MignonandMignon,Handmade Products:Jewelry:Necklaces,Handmade Products,417,321,44%,Handmade Necklaces,98,203,-42%,"4,567"
B0CX518JYQ,"Luma - The Patented Glow-in-The-Dark Toy That Flies a Loop of String, Creates Endless Shapes and Tricks Built-in LED for Glowing Fun. Perfect STEM Gift for Kids & Adults. Wonderment Awaits",ZipString,Toys & Games:Novelty & Gag Toys:Magic Kits & Accessories,Toys & Games,492,570,55%,Magic Kits & Accessories,1,"9,042",289%,"267,552"
B0CVXGKNV7,"Montessori Busy Board, Personalized Bear Busy Board, Name Puzzle, Learning Toys for 1 Year Old, Sensory Activity, Wooden Baby Toys, Easter Toys, Unique Birthday Gift BB04 (Pastel Girl)",Kindlytoys,Toys & Games:Learning & Education,Handmade Products,185,136,42%,Learning & Education Toys,1359,438,174%,"13,135"
B0CSCWBLFG,BeeGreen Monogrammed Canvas Tote Bag Personalized Gifts for Wedding Birthday Initial Tote Bag for Women Friends Mothers Sisters Teachers Beach Bag (Letter S),BeeGreen,"Clothing, Shoes & Jewelry:Women:Handbags & Wallets:Totes","Clothing, Shoes & Jewelry",418,"2,022",83%,Women's Tote Handbags,8128,339,100%,"7,607"
B0CRPHNZ8F,"Acrylic Dry Erase Board with Light, 13.7""X10"" 6-Color Neon Glow Memo LED Light-Up Message Note Board with Stand as Night Light for Room/Store/Office/Festival/Gift, Touch Control, 7 Markers",Bailkind,Office Products:Office & School Supplies:Presentation Boards:Dry Erase Boards,Office Products,406,29,7%,Dry Erase Boards,6,"8,879","1,590%","355,071"
B0CQC5BVKL,Solar Lanterns Outdoor Waterproof Mushroom Butterfly Garden Decor Gifts for Women Mon Grandma Metal Hanging Solar Lights Decoration for Outside LED Lanterns for Yard Patio Lawn Pathway Landscape,Tepaken,Tools & Home Improvement:Lighting & Ceiling Fans:Outdoor Lighting:Lanterns,Tools & Home Improvement,441,410,48%,"Lanterns

Sports & Outdoors

Electric Lanterns","1

2794

24","6,282",100%,"169,362"
B0CNX7B1VR,"Karaoke Machine for Kids Adults, Mini Portable Bluetooth Karaoke Speaker with 2 Wireless Microphone and Lights, Birthday Gifts for Girls Ages 4, 5, 6, 7, 8, 9, 10, 12+ Family Home Party",BEILIHART,"Musical Instruments:Electronic Music, DJ & Karaoke:Karaoke Equipment:Systems:Portable Systems",Musical Instruments,19,11,37%,Karaoke Portable Systems,1,"6,441",7%,"185,436"
