Cluster,avg_magnet_iq,max_magnet_iq,max_magnet_iq_keyword,avg_search_volume,max_search_volume,max_search_volume_keyword,avg_search_volume_trend,max_search_volume_trend,max_search_volume_trend_keyword,max_competing_products,sum_cpr,avg_cpr
$0-$10,48.475,1705.0,christmas gifts under 10,726.625,18414.0,gifts under 10 dollars,55.962025316455694,360.0,christmas gifts under $10,200000.0,857,10.7125
$20-$50,108.00757575757575,6047.0,10 to 15 dollar christmas gifts,698.6060606060606,13046.0,gifts under 5 dollars,164.0,3795.0,christmas gifts under 50 dollars,300000.0,1465,11.098484848484848
???,7444.3501945525295,277000.0,kaldreks gift,557.7976653696498,18386.0,gift,35.42570281124498,754.0,novelty gift,300000.0,2584,10.054474708171206
Birthday,981.0595238095239,73750.0,birthday gift by mary waterford,785.9047619047619,18799.0,birthday gifts,6.583333333333333,287.0,cool bday gifts,200000.0,907,10.797619047619047
Birthday(general),82.43181818181819,1335.0,birthday gifts for women,2991.909090909091,267001.0,birthday gifts for women,10.196850393700787,240.0,birthday gifts sets for women,300000.0,2008,15.212121212121213
Boss,54.80952380952381,539.0,national boss day gifts for him,505.1666666666667,3991.0,boss gifts,178.4,1180.0,bosses gift,200000.0,423,10.071428571428571
Christmas,1195.3001876172607,239000.0,b0dj1f3t7s middle finger gifts,1868.8799249530957,272009.0,christmas gifts,62.22,1651.0,christmas sets gifts,200000.0,6925,12.992495309568481
Christmas 2024,2080.75,126032.0,2024 top christmas gifts,1563.078125,23442.0,2024 top christmas gifts,96.88888888888889,615.0,christmas 2024 gifts,100000.0,924,14.4375
College/Grad,138.05263157894737,1871.0,college girl christmas gifts,542.1954887218045,6232.0,graduation gifts,49.64661654135338,2191.0,christmas gifts for college students,200000.0,1380,10.37593984962406
Engagement,304.4594594594595,4031.0,1 year anniversary gifts for boyfriend,1981.8108108108108,29670.0,engagement gifts for couples,40.31944444444444,863.0,cotton anniversary gift,100000.0,1104,14.91891891891892
For BF,109.46601941747574,2728.0,wool gifts for him,1154.6796116504854,14431.0,christmas gifts for boyfriend,32.51485148514851,419.0,gifts for crush,100000.0,1371,13.310679611650485
For GF/Friend,1493.122340425532,269000.0,a gift for her grumpy deputy,1278.5691489361702,34960.0,best friend gifts for women,31.263440860215052,1284.0,gifts for friend woman,200000.0,2340,12.446808510638299
For Women,142.15337423312883,3931.0,gifts for women,2460.4754601226996,393137.0,gifts for women,52.205128205128204,1278.0,sentimental gifts for women,200000.0,4588,14.07361963190184
Funny,161.83168316831683,7533.0,gigglewick gifts,947.6831683168317,29685.0,funny gifts,88.39795918367346,1338.0,funny christmas gift,200000.0,1137,11.257425742574258
Gardening,50.77777777777778,368.0,plant related gifts for women,773.5833333333334,6229.0,gardening gifts for women,26.8,105.0,gifts for gardening women,100000.0,438,12.166666666666666
Gift Box,2773.316326530612,226000.0,nintendo e shop gift code,1215.530612244898,48649.0,gift box,36.72631578947368,259.0,halloween candy gift box,200000.0,1071,10.928571428571429
Gift Sets,1295.3241379310346,41143.0,bum bum mini body ritual gift set,868.1862068965518,14929.0,gift sets,92.97202797202797,3803.0,skincare gift set,200000.0,1660,11.448275862068966
Halloween,253.78333333333333,3088.0,halloween gift box for college student,2708.7833333333333,58953.0,halloween gifts for kids,174.43478260869566,1016.0,halloween gift pack,100000.0,839,13.983333333333333
House Warming,150.17567567567568,4128.0,house warming gifts new home,1663.337837837838,41284.0,house warming gifts new home,31.541666666666668,208.0,christmas gifts for home,200000.0,1002,13.54054054054054
Mom,125.6195652173913,2951.0,oeago gifts for mom,2816.7771739130435,210484.0,mom christmas gifts,90.93296089385476,2772.0,mom christmas gifts,200000.0,2661,14.46195652173913
Mom's Birthday,28.346153846153847,205.0,gifts for mexican grandma,1219.0,20363.0,mom birthday gifts,5.5,98.0,gifts for grandmas,100000.0,669,12.865384615384615
Mother's Day,126.82658959537572,4611.0,vintage mothers day gifts,268.4393063583815,2241.0,mothers day gifts,15.971098265895954,126.0,mother valentines day gift,200000.0,1405,8.121387283236995
Office/Coworker,109.44680851063829,1539.0,cool gifts for coworkers,1140.787234042553,15386.0,cool gifts for coworkers,39.6,294.0,funny office gifts for women,200000.0,580,12.340425531914894
Sister,80.3030303030303,1808.0,makezbright personalized gifts for sisters,1858.939393939394,18364.0,sister birthday gifts,46.225806451612904,737.0,sister gifts for christmas,100000.0,497,15.06060606060606
Small,81.37096774193549,2462.0,santa swap gift exchange oversized dice,624.758064516129,7831.0,small gifts,58.59322033898305,1398.0,small gifts under 5,200000.0,643,10.370967741935484
Teen,214.89102564102564,1845.0,teenage boys christmas gifts,933.6282051282051,26767.0,gifts for teen boys,95.177304964539,2679.0,teen guy gifts,200000.0,1755,11.25
Valentine'd Day,139.31617647058823,2194.0,spiderman valentines gifts,275.56617647058823,1782.0,valentines day gifts,20.205882352941178,103.0,valentine for her gift,200000.0,1110,8.161764705882353
Wedding,193.578125,1996.0,wedding registry gifts,1984.703125,48645.0,wedding gifts,9.225806451612904,292.0,unique bridesmaid gifts,200000.0,907,14.171875
Women,202.99171270718233,28714.0,one day shipping gifts for women,3207.6988950276245,347347.0,womens gifts for christmas,349.8158640226629,66919.0,womens gifts for christmas,300000.0,5340,14.751381215469614
white elephant + young adult,348.70512820512823,11475.0,white elephant gifts for adults,1675.076923076923,68848.0,white elephant gifts for adults,75.70270270270271,420.0,gifts for adult children,200000.0,1078,13.820512820512821
