Cluster,avg_magnet_iq,max_magnet_iq,max_magnet_iq_keyword,avg_search_volume,max_search_volume,max_search_volume_keyword,avg_search_volume_trend,max_search_volume_trend,max_search_volume_trend_keyword,max_competing_products,sum_cpr,avg_cpr
book,28560.491408934708,433000.0,iton flame paperback,1360.9725085910652,93842.0,scrapbook,14.926829268292684,344.0,book of facts,300000.0,3478,11.951890034364261
burt's bee,3938.10101010101,36125.0,burts bees,982.8282828282828,36125.0,burts bees,46.520833333333336,1228.0,burt's bees essential kit,30000.0,1105,11.16161616161616
clearance,27690.891891891893,1031000.0,razer gold,1271.5945945945946,78379.0,amazoñ,7.662116040955631,395.0,free delivery overnight,400000.0,3651,12.33445945945946
coffee mug,381.51698113207544,6281.0,standy cups,1287.656603773585,80889.0,coffee bar accessories,7.813688212927756,167.0,fancy mug,100000.0,3227,12.177358490566037
crockpot/popcorn/dorm,3050.8828125,162766.0,luncheaze,2726.7265625,217479.0,crock pot,21.25049309664694,2447.0,charcuterie board sets,200000.0,7401,14.455078125
facial massage,2858.9,118150.0,renpho eye massager,888.7823529411764,30675.0,eye massager,28.180722891566266,523.0,aura ease migraine relief mask,20000.0,1854,10.905882352941177
gift for kids(5-12),762.2376470588235,51186.0,camera for kids,2055.995294117647,192821.0,toys for ages 8-13,39.39277108433735,1600.0,7 year old girl stuff,200000.0,5880,13.83529411764706
hair,2391.1322314049585,56288.0,hair chalk,691.0,13509.0,hair chalk,62.549549549549546,1554.0,purple hair chalk for kids,50000.0,1247,10.305785123966942
holiday/birthday,1927.296066252588,587000.0,gifting me to his bestfriend,1358.3188405797102,327708.0,halloween,48.96234309623431,1943.0,christmas sculpture,200000.0,5553,11.496894409937887
home decor,166.30528846153845,18927.0,outdoor,1609.9903846153845,342662.0,home decor,1.7204819277108434,300.0,outdoor ornaments,100000.0,5066,12.177884615384615
hoodie/blanket,2763.5698324022346,200000.0,charmtroll wearable blanket,3360.8240223463686,359796.0,blanket,74.78386167146974,1933.0,adult blanket hoodie for women,200000.0,5652,15.787709497206704
lamp/candle,3394.4466666666667,298000.0,the history of the christmas figural light bulb hardcover,508.3333333333333,5373.0,funny candles,9.755102040816327,153.0,silicone light up animals,100000.0,1504,10.026666666666667
lego,2976.0048780487805,174807.0,rose,804.4585365853659,42653.0,rose,11.979899497487438,485.0,small lego flowers,100000.0,2175,10.609756097560975
lighter,6043.135593220339,304000.0,bourbon harmony walker rose,2031.5141242937852,70073.0,candle lighter,21.132183908045977,384.0,old fashioned smoker kit,40000.0,2468,13.943502824858758
plant,1166.8121693121693,128000.0,soph’s plant kitchen,1081.8968253968253,49884.0,plant pots,6.215425531914893,218.0,herb garden kits,300000.0,4512,11.936507936507937
shower steamer,1506.6962750716332,156492.0,shower steamers,1310.9656160458453,93739.0,shower steamers,24.766961651917406,1777.0,home essentials for women,200000.0,4331,12.40974212034384
snack,704.4653179190751,15414.0,thanksgiving meal kit,992.5520231213873,69061.0,snacks variety pack for adults,108.61329305135952,19108.0,halloween candy for college students,100000.0,3764,10.878612716763005
socks,1039.8568665377177,68099.0,fuzzy socks,2354.2533849129595,198787.0,socks for women,152.0728346456693,13058.0,bearfoot dreams socks,200000.0,7129,13.789168278529981
stanley,3176.674358974359,53037.0,red stanley cup,808.7,23747.0,kids stanley cup,1.9868073878627968,469.0,stanley wicked,30000.0,4404,11.292307692307693
stocking stuffer,535.1420765027323,36125.0,stocking stuffers for teen girls 16-18,2663.584699453552,181251.0,stocking stuffers for women,543.1694915254237,56494.0,stocking stuffers for teen girls 16-18,100000.0,2690,14.699453551912569
table top fire pit,3292.8543046357618,230000.0,chase banking app for fire,1274.6158940397352,32740.0,tabletop fire pit,30.473333333333333,1035.0,tabletop indoor firepit,90000.0,1964,13.006622516556291
travel,1196.6041666666667,61191.0,packing cubes for travel,2524.6180555555557,217459.0,travel essentials,49.754448398576514,6133.0,travel packing bags for women,200000.0,3854,13.381944444444445
xxx mexican,3619.2462686567164,301000.0,libro de bts aniversario 10,982.8619402985074,30715.0,loncheras para hombres de trabajo,28.91320754716981,587.0,adolescentes regalos,200000.0,3031,11.309701492537313
xxx random,16663.837084673098,401000.0,dolingo app,1242.7824222936763,60952.0,emotional support nuggets,23.724780701754387,2567.0,pink saber lighter,800000.0,11597,12.429796355841372
