"Keyword Phrase","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"blanket","11,993","359,796",28,0.99,0.65,1.41,605,">30,000",467,0,0,1,47,,
"home decor","3,427","342,662",-6,0.7,0.42,1.03,857,">100,000",439,0,0,1,23,,
"halloween","3,277","327,708",66,0.61,0.42,0.84,856,">100,000",427,1,0,0,39,,
"crock pot","108,740","217,479",1,0.37,0.35,0.64,741,">2,000",283,0,0,1,0,,
"travel essentials","2,175","217,459",-34,0.7,0.46,1.12,511,">100,000",288,1,0,0,15,,
"socks for women","2,485","198,787",8,1.1,0.77,1.4,503,">80,000",263,1,0,0,8,,
"toys for ages 8-13","48,205","192,821",34,1.07,0.7,1.47,706,">4,000",254,1,0,0,0,,
"stocking stuffers for women","6,042","181,251",359,1.05,0.77,1.32,550,">30,000",241,1,0,0,3,,
"hoodie","2,014","161,139",31,0.8,0.49,1.03,820,">80,000",225,0,0,1,29,,
"womens socks","2,122","148,531",27,1.08,0.73,1.32,571,">70,000",202,1,0,0,2,,
"charcuterie boards","24,496","146,976",37,1.02,0.76,1.51,553,">6,000",207,1,0,0,23,,
"crock pot slow cookers","143,853","136,229",-7,0.54,0.39,0.69,576,">947",186,0,0,1,0,,
"fuzzy socks","68,099","136,197",82,1.03,0.75,1.2,631,">2,000",196,1,0,0,31,,
"fuzzy socks for women","43,910","131,731",90,0.75,0.55,1.04,568,">3,000",188,1,0,0,23,,
"travel essentials for women","1,255","112,936",197,0.67,0.41,1.17,695,">90,000",159,1,0,0,2,,
"crockpot","31,285","93,854",-12,0.38,0.29,0.77,753,">3,000",139,0,0,1,10,,
"scrapbook",938,"93,842",-4,0.68,0.44,0.84,590,">100,000",150,1,0,0,45,,
"shower steamers","156,492","93,739",73,1.68,1.02,2.12,371,">599",151,1,0,0,46,,
"kids camera","31,246","93,737",79,0.98,0.66,1.38,510,">3,000",146,1,0,0,32,,
"blanket hoodie","93,720","93,720",73,0.81,0.53,1.08,639,">1,000",149,1,0,1,40,,
"thermos","13,495","80,971",0,0.52,0.34,0.68,747,">6,000",132,0,0,1,35,,
"cruise ship essentials","20,226","80,902",-12,0.76,0.57,1.27,487,">4,000",123,1,0,0,7,,
"coffee bar accessories","2,696","80,889",0,0.63,0.41,0.86,764,">30,000",127,1,0,0,19,,
"amazoñ","647,760","78,379",56,1.05,0.6,1.48,571,121,118,1,0,0,0,,
"candle lighter","35,037","70,073",3,0.79,0.6,0.91,548,">2,000",116,1,0,0,26,,
"snacks variety pack for adults","9,866","69,061",-22,0.81,0.54,1.07,522,">7,000",107,1,0,0,1,,
"packing cubes for travel","61,191","61,191",-35,1.08,0.75,1.26,552,">1,000",104,1,0,0,22,,
"emotional support nuggets","262,724","60,952",-32,0.55,0.49,0.77,530,232,101,1,0,0,13,,
"sisters","345,740","59,813",110,0.82,0.56,1.01,580,173,105,1,0,0,30,,
"camera for kids","51,186","51,186",-4,1.18,0.54,1.68,609,">1,000",91,1,0,0,18,,
"snack box","1,705","51,140",-16,0.71,0.43,0.93,610,">30,000",93,1,0,0,25,,
"wearable blanket","50,256","50,256",80,0.84,0.71,1.02,442,">1,000",98,1,0,1,42,,
"plant pots","4,988","49,884",-10,0.43,0.33,0.59,777,">10,000",92,0,0,1,26,,
"snuggie","70,399","42,662",58,0.85,0.6,1.1,651,">606",76,0,0,1,2,,
"whiskey smoker kit","109,648","42,653",130,1.99,1.55,2.28,303,389,82,1,0,0,22,,
"rose","174,807","42,653",44,1.06,0.65,1.37,0,244,87,1,0,0,37,,
"fleece blanket","2,132","42,648",30,0.93,0.72,1.24,614,">20,000",80,0,0,1,16,,
"safe box",408,"40,795",-14,0.7,0.45,1.02,527,">100,000",83,0,0,1,31,,
"mugs",386,"38,634",22,0.62,0.45,0.88,698,">100,000",80,1,0,0,29,,
"stocking stuffers for teen girls 16-18","36,125","36,125","56,494",0.91,0.7,1.14,325,">1,000",68,1,0,0,1,,
"burts bees","36,125","36,125",33,1.18,0.65,1.73,494,">1,000",68,1,0,0,2,,
"fluffy socks","18,061","36,122",82,0.81,0.6,1.11,615,">2,000",74,1,0,0,20,,
"food warmer","9,030","36,118",43,0.86,0.58,1.08,458,">4,000",77,0,0,1,31,,
"cool gadgets","1,806","36,118",68,0.7,0.49,0.97,750,">20,000",68,1,0,0,4,,
"comfy","340,717","36,116",92,1.33,1.04,1.54,836,106,71,0,0,1,13,,
"kids stocking stuffers","1,092","32,754",293,0.81,0.59,1.17,653,">30,000",63,0,0,1,0,,
"christmas stocking stuffers",655,"32,751",178,0.8,0.63,1.05,640,">50,000",66,1,0,1,8,,
"plants",328,"32,751",-21,0.71,0.49,1.24,627,">100,000",71,1,0,0,25,,
"tabletop fire pit","32,740","32,740",24,0.89,0.62,1.35,570,">1,000",76,1,0,0,40,,
"cocktail smoker kit","75,080","32,735",170,2.27,1.62,2.39,460,436,75,1,0,0,37,,
"coffee table books",655,"32,733",-20,0.62,0.53,0.73,459,">50,000",63,1,0,0,0,,
"the book",109,"32,731",56,1,0.56,1.02,798,">300,000",67,1,0,0,11,,
"self care",409,"32,721",8,1.13,0.78,1.58,777,">80,000",68,1,0,1,15,,
"coquette","123,867","30,719",4,0.63,0.43,0.82,602,248,74,1,0,0,40,,
"loncheras para hombres de trabajo","60,822","30,715",-5,0.66,0.38,0.74,540,">505",61,0,0,1,1,,
"decor",307,"30,715",-15,0.68,0.4,0.86,707,">100,000",72,0,0,1,36,,
"cozy blanket","1,535","30,708",20,1.08,0.73,1.56,622,">20,000",62,0,0,1,5,,
"lunchbox","3,070","30,701",-19,0.66,0.45,0.82,718,">10,000",63,0,0,1,8,,
"travel accessories",153,"30,685",-3,0.69,0.49,1.17,668,">200,000",63,1,0,0,8,,
"eye massager","41,453","30,675",7,2.04,1.33,2.58,359,">740",75,1,0,0,43,,
"old fashioned smoker kit","76,032","30,641",384,1.92,1.54,2.54,495,403,68,1,0,0,22,,
"kids camera instant print","55,768","27,661",20,1.77,1.36,2.09,563,">496",65,1,0,0,23,,
"cute",138,"27,658",0,0.68,0.51,0.95,704,">200,000",69,1,0,0,36,,
"packing cubes for travel women","51,306","27,654","3,617",1.22,0.91,1.35,420,">539",57,1,0,0,1,,
"classroom must haves","1,383","27,654",-26,0.59,0.39,0.83,687,">20,000",57,1,0,0,1,,
"table top firepit","27,654","27,654",8,0.89,0.65,1.25,664,">1,000",63,1,0,0,19,,
"terrarium","1,241","24,813",-9,0.5,0.38,0.68,610,">20,000",68,1,0,0,45,,
"warm socks for women","2,481","24,813",125,1.15,0.79,1.46,605,">10,000",54,1,0,0,1,,
"women socks",354,"24,811",10,1.05,0.74,1.39,555,">70,000",54,1,0,0,1,,
"essential oil","2,481","24,806",-4,1.4,0.87,1.61,595,">10,000",63,0,0,1,29,,
"cozy socks for women","8,106","24,317",105,1.01,0.77,1.21,618,">3,000",54,1,0,0,2,,
"mini crock pot","70,907","23,754",14,0.6,0.3,0.78,776,335,52,0,0,1,0,,
"sherpa blanket","3,958","23,748",44,0.97,0.67,1.26,736,">6,000",54,0,0,1,4,,
"kids stanley cup","52,654","23,747",-7,0.62,0.46,0.74,773,451,52,1,0,0,0,,
"tortilla blanket","89,184","23,723",15,0.89,0.68,1.06,469,">266",60,1,0,0,24,,
"office",79,"23,718",-14,1.32,1.05,1.6,567,">300,000",65,1,0,0,38,,
"oversized hoodies for women",474,"23,693",50,0.73,0.58,0.89,870,">50,000",53,1,0,0,2,,
"toys for 4 year old girls","2,955","23,642",18,1.24,0.91,1.65,502,">8,000",52,1,0,0,0,,
"termos para comida caliente","56,332","23,603",-7,0.42,0.35,0.63,670,">419",52,0,0,1,0,,
"luncheaze","162,766","23,601",20,0.67,0.46,0.89,345,145,53,0,0,1,3,,
"small crock pot","21,049","21,049",14,0.48,0.36,0.78,786,">1,000",49,0,0,1,0,,
"charcuterie board","3,508","21,047",49,1.12,0.71,1.56,511,">6,000",56,1,0,0,20,,
"women",105,"21,047",10,0.95,0.62,1.19,612,">200,000",56,1,0,1,21,,
"happy birthday",210,"21,042",-6,0.81,0.6,1.08,616,">100,000",58,1,0,0,28,,
"shower steamers aromatherapy","35,421","21,040",20,1.78,1.21,2.2,347,">594",61,1,0,0,38,,
"girl","129,877","21,040",-3,0.96,0.63,1.21,884,162,56,1,0,0,22,,
"toys for girls 8-10","1,052","21,034",1,1.21,0.88,1.5,730,">20,000",49,1,0,0,0,,
"bourbon smoker kit","55,643","21,033",316,1.97,1.59,2.36,242,378,52,1,0,0,8,,
"winter socks for women","2,095","20,946",109,1.13,0.86,1.32,615,">10,000",49,1,0,0,0,,
"blanket hoodies for women","19,980","19,980",124,0.84,0.65,1.04,646,">1,000",49,1,0,0,2,,
"portable dishwasher","61,101","19,980",-6,0.9,0.74,1.26,491,">327",55,0,0,1,22,,
"cozy socks","3,995","19,973",24,0.89,0.71,1.19,673,">5,000",51,1,0,0,8,,
"girls toys 8-10","1,997","19,970",69,1.2,0.94,1.5,522,">10,000",48,1,0,0,0,,
"lonchera eléctrica portátil","43,874","19,568",60,0.56,0.43,0.82,450,446,48,0,0,1,1,,
"duck",326,"19,566",3,0.63,0.43,0.86,684,">60,000",62,1,0,0,44,,
"smores maker","40,491","19,476",26,0.84,0.69,0.99,765,481,58,1,0,0,32,,
"spa",194,"19,435",12,0.98,0.64,1.32,570,">100,000",60,1,0,1,40,,
"snacks for adults","1,903","19,026",-9,1.01,0.68,1.57,610,">10,000",48,1,0,0,3,,
"girl toys age 4-5",626,"18,794",8,1.12,0.83,1.49,595,">30,000",47,1,0,0,0,,
"wearable blankets for women","18,794","18,794",554,0.93,0.71,1.13,497,">1,000",47,1,0,0,0,,
"burrito blanket","96,876","18,794",18,0.98,0.7,1.21,395,">194",48,1,0,0,3,,
"instant print camera","21,093","18,794",27,1.5,1.11,1.92,730,">891",52,1,0,0,17,,
"oversized hoodie",268,"18,794",4,0.81,0.6,1.03,676,">70,000",48,1,0,1,4,,
"scrapbook album","9,397","18,794",-4,0.64,0.47,0.83,582,">2,000",53,1,0,0,19,,
"box",94,"18,794",4,1.27,1.17,1.94,764,">200,000",58,0,0,1,37,,
