"Keyword Phrase","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"bridal shower hostess gifts",150,300,-15,1.06,0.85,1.46,273,">2,000",8,1,0,0,0,,
"birthday care packages for college students",656,300,-22,0.67,0.54,0.88,363,457,8,1,0,0,0,,
"fun gifts for teenagers",38,300,214,,,,79,">8,000",8,1,0,0,0,,
"indoor plant gifts",30,300,44,0.91,0.69,1.21,204,">10,000",8,1,0,0,0,,
"horror movie gifts for women",75,300,-8,0.75,0.54,0.94,225,">4,000",8,1,0,0,1,,
"gifts for relaxation women",15,300,46,1.29,0.9,1.61,175,">20,000",8,1,0,0,0,,
"best gifts for 6 years old girl",38,300,14,1.53,1.12,1.93,253,">8,000",8,1,0,0,0,,
"mothers day gifts outdoor decorations",43,300,54,1.03,0.82,1.3,143,">7,000",8,1,0,0,0,,
"mothers day gifts for mom packages",15,300,19,,,,124,">20,000",8,1,0,0,0,,
"birthday gift for mother",3,301,-27,,,,343,">100,000",8,1,0,0,0,,
"birthday snacks for kids",301,301,-16,1.22,0.9,1.51,340,">1,000",8,1,0,0,0,,
"prank gift boxes for adult",476,301,-1,,,,208,">633",8,0,1,0,0,,
"gift for office women",2,301,45,,,,189,">200,000",8,1,0,0,0,,
"funny college gifts",30,301,8,0.95,0.69,1.23,320,">10,000",8,1,0,0,0,,
"baby shower prizes for games",100,301,-15,,,,305,">3,000",8,1,0,0,0,,
"wedding guest gift",6,301,-7,0.87,0.6,0.96,322,">50,000",8,1,0,0,0,,
"gift for adult woman",2,301,13,1.03,0.79,1.27,430,">200,000",8,1,0,0,0,,
"mini fire pit for smores",371,301,89,1.1,0.9,1.33,240,">811",8,1,0,0,0,,
"gifts for the garden",3,301,28,0.98,0.76,1.3,363,">100,000",8,1,0,0,0,,
"home and garden gifts",3,301,6,,,,354,">100,000",8,1,0,0,0,,
"valentines gifts friends",3,301,-14,,,,210,">100,000",8,1,0,0,0,,
"goft for her",3,301,-3,,,,255,">100,000",8,1,0,0,0,,
"best gift for mother's day",2,301,15,1.77,1.23,2.16,217,">200,000",8,1,0,0,0,,
"kids valentine gift",3,301,51,0.89,0.67,1.09,143,">100,000",8,1,0,0,0,,
"halloween snacks for kids",301,301,52,0.81,0.55,1.45,767,">1,000",8,1,0,0,0,,
"halloween birthday gifts",3,301,-21,0.92,0.68,1.12,839,">100,000",8,1,0,0,6,,
"fuzzy halloween socks for women",301,301,41,0.75,0.57,0.99,315,">1,000",8,1,0,0,0,,
"halloween gifts for family",3,301,535,,,,94,">100,000",8,1,0,0,1,,
