"Keyword Phrase","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"gifts for women","3,931","393,137",85,1.06,0.71,1.52,488,">100,000",500,1,0,0,25,,
"womens gifts for christmas","3,473","347,347","66,919",1.06,0.83,1.55,372,">100,000",438,1,0,0,2,,
"christmas gifts","1,360","272,009",208,0.98,0.54,1.34,733,">200,000",351,1,0,0,10,,
"birthday gifts for women","1,335","267,001",-14,1.24,0.83,1.77,487,">200,000",348,1,0,0,18,,
"spa gifts for women","11,996","239,926","1,531",0.95,0.68,1.28,587,">20,000",313,1,0,0,10,,
"christmas gifts for women","2,124","212,399",339,1.08,0.7,1.38,528,">100,000",279,1,0,0,7,,
"mom christmas gifts","2,105","210,484","2,772",1.29,0.94,1.63,481,">100,000",275,1,0,0,2,,
"mens christmas gifts","1,095","109,497",927,1.25,0.97,1.65,771,">100,000",155,1,0,0,1,,
"gifts for mom",909,"90,896",63,1.38,0.84,1.58,507,">100,000",138,1,0,0,16,,
"mens gifts",783,"78,321",89,1.15,0.85,1.56,569,">100,000",118,1,0,0,3,,
"white elephant gifts for adults","11,475","68,848",394,0.91,0.6,1.2,432,">6,000",111,1,0,0,16,,
"gifts",644,"64,384",37,1,0.61,1.29,686,">100,000",108,1,0,0,23,,
"halloween gifts for kids",590,"58,953",180,0.75,0.49,0.89,610,">100,000",95,1,0,0,1,,
"gift box","2,432","48,649",4,0.67,0.53,1.05,681,">20,000",92,1,0,0,31,,
"wedding gifts",243,"48,645",-13,1.13,0.73,1.38,504,">200,000",88,1,0,0,19,,
"halloween gifts",486,"48,638",36,0.61,0.48,0.86,687,">100,000",84,1,0,0,6,,
"house warming gifts new home","4,128","41,284",-7,1.12,0.76,1.46,609,">10,000",80,1,0,0,22,,
"mom gifts",374,"37,394",67,1.4,0.97,1.85,512,">100,000",70,1,0,0,4,,
"holiday gifts for women",374,"37,391","15,538",1.17,0.92,1.45,399,">100,000",69,1,0,0,1,,
"best friend gifts for women",350,"34,960",8,1.16,0.8,1.55,531,">100,000",66,1,0,0,0,,
"anniversary gifts for women",350,"34,953",-6,1.33,0.82,1.84,413,">100,000",66,0,1,0,0,,
"gifts for her",317,"31,698",45,1.24,0.85,1.69,380,">100,000",63,1,0,0,2,,
"relaxing gifts for women",528,"31,682",830,1.16,0.86,1.69,602,">60,000",62,1,0,0,0,,
"christmas gifts for mom",317,"31,670",256,1.17,0.8,1.53,482,">100,000",64,1,0,0,6,,
"funny gifts",495,"29,685",31,1.02,0.61,1.22,593,">60,000",61,1,0,0,3,,
"engagement gifts for couples","2,967","29,670",-1,1.24,0.89,1.56,487,">10,000",64,1,0,0,15,,
"self care gifts for women","2,677","26,773",24,1.06,0.68,1.4,505,">10,000",58,1,0,0,5,,
"gifts for teen boys",446,"26,767",154,1.25,0.87,1.49,578,">60,000",56,1,0,0,0,,
"2024 top christmas gifts","126,032","23,442","n/a",0.91,0.71,1.21,151,186,52,1,0,0,0,,
"gift boxes with lids for presents","22,837","22,837",21,0.95,0.73,1.1,644,">1,000",53,0,1,0,4,,
"mom birthday gifts",204,"20,363",-19,1.25,0.76,1.72,422,">100,000",50,1,0,0,6,,
"white elephant gifts",966,"19,322",191,0.79,0.58,1.1,491,">20,000",53,1,0,0,18,,
"unique gifts for women",189,"18,865",40,1.02,0.72,1.42,555,">100,000",48,1,0,0,3,,
"gifts for girlfriend",189,"18,851",9,1.31,0.82,1.77,493,">100,000",49,1,0,0,7,,
"womens gifts",188,"18,815",302,1.19,0.81,1.48,592,">100,000",47,1,0,0,0,,
"birthday gifts",94,"18,799",-18,1.24,0.68,1.54,601,">200,000",53,1,0,0,20,,
"gift for women",93,"18,529",17,1.11,0.87,1.63,523,">200,000",46,1,0,0,0,,
"gifts under 10 dollars",184,"18,414",105,0.77,0.61,1.09,765,">100,000",46,1,0,0,0,,
"gift",61,"18,386",-12,0.81,0.5,1.07,656,">300,000",54,1,0,0,24,,
"sister birthday gifts",184,"18,364",-18,1.08,0.76,1.5,533,">100,000",51,1,0,0,15,,
"bulk gifts",91,"18,187",33,0.84,0.53,1.08,795,">200,000",47,1,0,0,2,,
"couple gifts",182,"18,187",18,1.14,0.78,1.64,548,">100,000",47,1,0,0,2,,
"personalized gifts for women",182,"18,187",49,1.25,0.89,1.67,640,">100,000",48,1,0,0,7,,
"housewarming gifts new home",589,"17,663",1,0.89,0.71,1.19,482,">30,000",47,1,0,0,7,,
"cool gifts for coworkers","1,539","15,386",99,0.9,0.62,1.09,840,">10,000",43,1,0,0,0,,
"unique gifts",154,"15,376",80,0.9,0.59,1.14,678,">100,000",43,1,0,0,3,,
"christian gifts",192,"15,374",45,0.79,0.64,0.98,624,">80,000",46,1,0,0,12,,
"gifts for women who have everything","1,706","15,355",97,1.16,0.9,1.47,540,">9,000",43,1,0,0,2,,
"women gifts",153,"15,321",114,1.17,0.77,1.59,587,">100,000",42,1,0,0,0,,
"gift sets",75,"14,929",155,1.01,0.62,1.23,696,">200,000",43,1,0,0,2,,
"best friend gifts",145,"14,486",18,1.2,0.83,1.55,526,">100,000",41,1,0,0,0,,
"couples gifts",161,"14,457",30,1.06,0.77,1.34,466,">90,000",43,1,0,0,5,,
"christmas gifts for boyfriend",361,"14,431",205,1.07,0.87,1.3,717,">40,000",42,1,0,0,2,,
"engagement gift",131,"13,072",9,1.07,0.85,1.43,480,">100,000",45,1,0,0,16,,
"bride gifts",187,"13,072",-21,1.06,0.73,1.34,489,">70,000",41,0,1,0,3,,
"christmas gifts for women 2024","1,306","13,055",261,1.03,0.82,1.36,696,">10,000",40,1,0,0,0,,
"gifts under 5 dollars",130,"13,046",78,0.55,0.41,0.86,829,">100,000",40,1,0,0,0,,
"gift set",65,"13,039",90,0.92,0.67,1.17,729,">200,000",46,1,0,0,19,,
"halloween gifts for women",130,"13,033",41,0.83,0.58,1.19,697,">100,000",40,1,0,0,2,,
"gifts for women birthday unique",124,"12,400",-6,1.14,0.79,1.57,567,">100,000",39,1,0,0,1,,
"halloween gift",124,"12,379",117,0.82,0.56,1.13,712,">100,000",39,1,0,0,0,,
"anniversary gift for couple",206,"12,378",-12,1.27,0.95,1.73,550,">60,000",39,1,0,0,0,,
"new mom gifts",206,"12,378",-1,1.04,0.61,1.33,522,">60,000",41,1,0,0,7,,
"gifts for teens",124,"12,373",97,0.84,0.63,1.07,688,">100,000",39,1,0,0,1,,
"gifts for sister",121,"12,050",53,0.92,0.66,1.4,575,">100,000",42,1,0,0,11,,
"gift set for women",113,"11,262",50,0.75,0.58,1.03,742,">100,000",40,1,0,0,7,,
"holiday gifts",54,"10,867",334,1.03,0.7,1.37,828,">200,000",38,1,0,0,3,,
"girlfriend gifts",109,"10,855",7,1.27,0.8,1.7,503,">100,000",38,1,0,0,4,,
"gifts for book lovers",217,"10,842",53,0.72,0.57,1.12,488,">50,000",41,0,1,0,12,,
"anniversary gifts",102,"10,238",-9,1.36,1.03,1.99,520,">100,000",36,1,0,0,0,,
"womens christmas gifts",51,"10,223",262,1.03,0.79,1.42,686,">200,000",36,1,0,0,0,,
"small gifts for women",100,"9,967",34,0.8,0.68,1.02,663,">100,000",36,1,0,0,0,,
