Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
adult back to school gifts,30.0,301.0,11.0,10000.0,8, for adult,9
learning books for adults,4.0,305.0,41.0,80000.0,8, for adult,2
adult prize gifts,31.0,309.0,6.0,10000.0,8, for adult,3
strange gifts for adults,316.0,316.0,14.0,1000.0,8, for adult,1
movie night supplies for adults,510.0,326.0,-18.0,639.0,8, for adult,9
birthday presents for adult brother,112.0,335.0,-14.0,3000.0,8, for adult,4
adult birthday gifts,3.0,337.0,-3.0,100000.0,8, for adult,9
gift prizes for adults,34.0,342.0,17.0,10000.0,8, for adult,3
christmas presents for adults,4.0,342.0,221.0,80000.0,8, for adult,9
adult grinch gifts,172.0,344.0,77.0,2000.0,8, for adult,9
toilet books for adults,49.0,346.0,-2.0,7000.0,8, for adult,6
gifts for adult granddaughter,35.0,349.0,181.0,10000.0,8, for adult,9
gifts for young adult male,6.0,349.0,-10.0,60000.0,8, for adult,9
cool unusual gifts for adults,90.0,358.0,,4000.0,8, for adult,8
fun gifts for college students,91.0,364.0,-2.0,4000.0,8, for adult,1
unique gifts for young adult,0.0,365.0,,0.0,8, for adult,1
adults disney gifts,0.0,365.0,,0.0,8, for adult,9
gifts for adult brother,18.0,369.0,94.0,20000.0,8, for adult,4
white elephant gifts for adults useful funny,373.0,373.0,129.0,1000.0,8, for adult,7
prize gifts for adults,38.0,380.0,-10.0,10000.0,8, for adult,3
prizes for games adults,54.0,380.0,633.0,7000.0,8, for adult,3
fun facts book for adults,19.0,381.0,-1.0,20000.0,8, for adult,6
gifts for anyone adult,0.0,381.0,,0.0,8, for adult,9
unique disney gifts for adults,383.0,383.0,-6.0,1000.0,8, for adult,1
halloween gifts for adults,4.0,396.0,37.0,100000.0,8, for adult,9
science gadgets for adults,475.0,396.0,11.0,834.0,8, for adult,8
fun books for adults,4.0,397.0,56.0,100000.0,8, for adult,6
gifts for brothers adult,40.0,397.0,339.0,10000.0,8, for adult,4
older people gifts,20.0,399.0,12.0,20000.0,8, for adult,5
fun stuff for adults,14.0,410.0,-10.0,30000.0,8, for adult,6
adult gift,4.0,426.0,26.0,100000.0,8, for adult,9
gift for adults,4.0,429.0,38.0,100000.0,8, for adult,9
10 dollar gifts for adults,6.0,431.0,15.0,70000.0,8, for adult,9
creative gifts for young adults,0.0,431.0,,0.0,8, for adult,1
cool gifts for young adults,87.0,436.0,60.0,5000.0,8, for adult,8
food gift for adults,218.0,436.0,272.0,2000.0,8, for adult,9
gifts for adult children,4.0,438.0,529.0,100000.0,8, for adult,9
cool gifts for adult,4.0,449.0,-30.0,100000.0,8, for adult,8
prizes for adults party games,90.0,450.0,26.0,5000.0,8, for adult,3
couples sexy gift for adults,1178.0,450.0,-15.0,382.0,8, for adult,0
fun adult gifts,2.0,452.0,14.0,200000.0,8, for adult,1
fun gadgets for adults,154.0,461.0,10.0,3000.0,8, for adult,8
raffle gifts for adults,1468.0,461.0,-2.0,314.0,8, for adult,3
cool young adult gifts,77.0,461.0,,6000.0,8, for adult,8
rideable suitcase for adults,2719.0,465.0,-4.0,171.0,8, for adult,9
cool gifts adult,5.0,465.0,,100000.0,8, for adult,8
gifts for the elderly,16.0,470.0,58.0,30000.0,8, for adult,5
boredom busters for adults,618.0,472.0,-8.0,764.0,8, for adult,6
fun prizes for adults,53.0,481.0,-8.0,9000.0,9, for adult,3
science books for adults,5.0,481.0,15.0,100000.0,9, for adult,2
mini gifts for adults,18.0,534.0,19.0,30000.0,9, for adult,9
party prizes for adults,54.0,535.0,8.0,10000.0,9, for adult,3
cool christmas gifts for adults,18.0,535.0,112.0,30000.0,9, for adult,8
non fiction books for adults,5.0,535.0,-10.0,100000.0,9, for adult,2
christmas gifts adults,6.0,571.0,100.0,100000.0,9, for adult,9
cool gifts for adults,6.0,571.0,63.0,100000.0,9, for adult,8
small prizes for adults,29.0,573.0,8.0,20000.0,9, for adult,3
christmas gifts for young adults,92.0,642.0,120.0,7000.0,10, for adult,9
gifts for christmas for adults,6.0,644.0,99.0,100000.0,10, for adult,9
silly gifts for adults,178.0,713.0,89.0,4000.0,10, for adult,1
practical gifts for adults,14.0,713.0,197.0,50000.0,10, for adult,1
educational books for adults,10.0,713.0,8.0,70000.0,10, for adult,2
unique gifts for adults,7.0,713.0,40.0,100000.0,10, for adult,1
family gifts for adults,7.0,713.0,92.0,100000.0,10, for adult,9
gifts prizes for adults,71.0,713.0,96.0,10000.0,10, for adult,3
funny books for adults,7.0,714.0,5.0,100000.0,10, for adult,6
10 gifts for adults,9.0,714.0,133.0,80000.0,10, for adult,9
cool gifts for adult brother,179.0,714.0,-37.0,4000.0,10, for adult,4
party gifts for adults,8.0,845.0,11.0,100000.0,11, for adult,9
door prizes for adults,8204.0,845.0,-9.0,103.0,11, for adult,3
adult practical gifts,17.0,845.0,,50000.0,11, for adult,1
