Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
wedding guest gift,6.0,301.0,-7.0,50000.0,8, for couple,9
wedding night gifts,15.0,305.0,-16.0,20000.0,8, for couple,6
wedding presents for couple,44.0,306.0,2.0,7000.0,8, for couple,1
best valentines day gifts for wife,2.0,307.0,-9.0,200000.0,8, for couple,3
best christmas gifts for wife,3.0,315.0,44.0,100000.0,8, for couple,3
wedding keepsakes for guests,79.0,316.0,7.0,4000.0,8, for couple,6
anniversary gift to husband,8.0,321.0,-25.0,40000.0,8, for couple,8
married couple christmas gifts,5.0,321.0,25.0,70000.0,8, for couple,1
veterans day gift for husband,0.0,330.0,,0.0,8, for couple,8
gifts for anniversary,3.0,334.0,-16.0,100000.0,8, for couple,2
christmas gifts for a couple,8.0,335.0,-8.0,40000.0,8, for couple,5
legos for couples to build together,945.0,341.0,-12.0,361.0,8, for couple,0
christmas gift husband,6.0,342.0,34.0,60000.0,8, for couple,4
cheap wedding gifts,3.0,344.0,-25.0,100000.0,8, for couple,6
3 year anniversary gifts for couples,0.0,344.0,,0.0,8, for couple,2
wife christmas gift,659.0,346.0,17.0,525.0,8, for couple,3
gifts for partner,7.0,349.0,17.0,50000.0,8, for couple,5
most popular wedding gifts,71.0,355.0,39.0,5000.0,8, for couple,6
gifts for newly married couple,119.0,357.0,16.0,3000.0,8, for couple,1
best couple gifts for christmas,9.0,358.0,64.0,40000.0,8, for couple,5
best anniversary gift,4.0,358.0,6.0,100000.0,8, for couple,2
married gifts,36.0,362.0,3.0,10000.0,8, for couple,1
unique wedding gift,4.0,373.0,-7.0,100000.0,8, for couple,9
unique christmas gifts for a couple,0.0,373.0,,0.0,8, for couple,5
gift for newly married couple,476.0,374.0,-3.0,785.0,8, for couple,1
gift for wedding couples,6.0,376.0,-3.0,60000.0,8, for couple,1
gifts for older couples unique,125.0,376.0,72.0,3000.0,8, for couple,5
his and her gifts for couples,54.0,381.0,321.0,7000.0,8, for couple,5
gifts for wedding,2.0,381.0,-1.0,200000.0,8, for couple,6
couple christmas gift,10.0,381.0,-1.0,40000.0,8, for couple,5
gifts for wedding guests,8.0,387.0,2.0,50000.0,8, for couple,6
funny gifts for wife,10.0,387.0,767.0,40000.0,8, for couple,3
gifts for husbands christmas,6.0,387.0,,60000.0,8, for couple,4
wedding day gifts,4.0,388.0,-15.0,100000.0,8, for couple,6
2nd marriage wedding gifts,486.0,392.0,-18.0,807.0,8, for couple,9
gifts for your wife,4.0,396.0,473.0,100000.0,8, for couple,3
new home gifts for couple,41.0,408.0,68.0,10000.0,8, for couple,5
unique gifts for husband,10.0,408.0,138.0,40000.0,8, for couple,4
romantic gift,10.0,408.0,-7.0,40000.0,8, for couple,5
30th anniversary gift for couples,411.0,411.0,-31.0,1000.0,8, for couple,2
christmas gifts for couple,10.0,417.0,170.0,40000.0,8, for couple,5
christmas gift for married couple,6.0,420.0,723.0,70000.0,8, for couple,1
best gifts for wife,4.0,422.0,2.0,100000.0,8, for couple,3
gift for married couple,53.0,424.0,29.0,8000.0,8, for couple,1
present for wife,5.0,426.0,8.0,90000.0,8, for couple,3
birthday for wife,4.0,427.0,-6.0,100000.0,8, for couple,3
best wedding gifts,4.0,435.0,-9.0,100000.0,8, for couple,9
household gifts for couples,435.0,435.0,17.0,1000.0,8, for couple,5
marriage anniversary gift for wife,62.0,436.0,7.0,7000.0,8, for couple,2
best wedding anniversary gifts,4.0,436.0,0.0,100000.0,8, for couple,2
legos for couples,1150.0,436.0,4.0,379.0,8, for couple,0
wedding gift for guests,9.0,440.0,-12.0,50000.0,8, for couple,6
gifts for young couples,147.0,442.0,149.0,3000.0,8, for couple,5
best wedding gifts for older couple,442.0,442.0,-8.0,1000.0,8, for couple,1
gifts for the wife,5.0,456.0,51.0,100000.0,8, for couple,3
wedding party gifts,5.0,458.0,-40.0,100000.0,8, for couple,6
home gifts for couples,9.0,463.0,49.0,50000.0,8, for couple,5
things for couples,51.0,463.0,-5.0,9000.0,8, for couple,5
gifts for husband unique,12.0,463.0,22.0,40000.0,8, for couple,4
christmas gifts husband,8.0,465.0,151.0,60000.0,8, for couple,4
christmas gifts for husband unique,23.0,465.0,215.0,20000.0,8, for couple,4
gift for a couple,5.0,468.0,458.0,100000.0,8, for couple,5
gifts for couple who has everything,470.0,470.0,,1000.0,8, for couple,5
cute couples gifts,16.0,472.0,4.0,30000.0,8, for couple,5
clever wedding gifts,157.0,472.0,-37.0,3000.0,8, for couple,9
christmas gifts for husbands,8.0,472.0,68.0,60000.0,8, for couple,4
best wedding gifts for guests,24.0,472.0,20.0,20000.0,8, for couple,6
best wedding gifts for newlyweds,47.0,473.0,-46.0,10000.0,8, for couple,1
photo album for couples,653.0,475.0,7.0,727.0,8, for couple,7
wedding gifts for couples,12.0,475.0,-14.0,40000.0,8, for couple,1
presents for husband,24.0,477.0,33.0,20000.0,8, for couple,4
gift for couples married,60.0,477.0,3.0,8000.0,8, for couple,1
gift for my wife,16.0,481.0,4.0,30000.0,9, for couple,3
christmas gifts for couples unique,5.0,482.0,121.0,100000.0,9, for couple,5
gifts for a couple,5.0,484.0,44.0,90000.0,9, for couple,5
husband christmas gift,772.0,484.0,66.0,627.0,9, for couple,4
birthday gift for wife from husband,16.0,486.0,-5.0,30000.0,9, for couple,3
gifts for engaged couple,107.0,534.0,10.0,5000.0,9, for couple,1
christmas gift for couple,14.0,573.0,1121.0,40000.0,9, for couple,5
housewarming gifts for couple,57.0,574.0,-9.0,10000.0,9, for couple,5
unique wedding gifts,6.0,574.0,-26.0,100000.0,9, for couple,9
wife birthday gifts,6.0,644.0,5.0,100000.0,10, for couple,3
4th anniversary gifts for husband,161.0,644.0,-51.0,4000.0,10, for couple,8
gifts for fiance,92.0,644.0,20.0,7000.0,10, for couple,1
funny gifts for husband,16.0,644.0,18.0,40000.0,10, for couple,4
gifts for married couples,81.0,644.0,14.0,8000.0,10, for couple,1
christmas gifts for married couples,161.0,644.0,63.0,4000.0,10, for couple,1
wedding presents for newlyweds,322.0,644.0,3.0,2000.0,10, for couple,6
best wedding gifts for couples,11.0,644.0,-70.0,60000.0,10, for couple,1
cool wedding gifts for couple,131.0,654.0,-51.0,5000.0,10, for couple,1
romantic gifts,18.0,713.0,2.0,40000.0,10, for couple,5
bridal gift,7.0,713.0,-23.0,100000.0,10, for couple,9
husband birthday gifts from wife,36.0,713.0,16.0,20000.0,10, for couple,3
parents anniversary gifts,36.0,713.0,-24.0,20000.0,10, for couple,2
wedding guest gifts,14.0,713.0,-31.0,50000.0,10, for couple,6
gifts for bridesmaids,14.0,713.0,-37.0,50000.0,10, for couple,6
gifts for couple,7.0,713.0,25.0,100000.0,10, for couple,5
bride gifts cute,36.0,713.0,-8.0,20000.0,10, for couple,9
birthday gifts for wife from husband,24.0,714.0,-20.0,30000.0,10, for couple,3
best gifts for couples,8.0,714.0,34.0,90000.0,10, for couple,5
gifts for wife from husband,17.0,845.0,25.0,50000.0,11, for couple,3
scrapbook for couples,845.0,845.0,-5.0,1000.0,11, for couple,7
memory book for couples,423.0,845.0,-19.0,2000.0,11, for couple,7
gifts for newly engaged couple,282.0,845.0,53.0,3000.0,11, for couple,1
wife anniversary gift,9.0,907.0,-27.0,100000.0,12, for couple,2
gift for couple,9.0,907.0,29.0,100000.0,12, for couple,5
gifts for my wife,30.0,909.0,31.0,30000.0,12, for couple,3
cool birthday gifts for wife,23.0,909.0,-10.0,40000.0,12, for couple,3
hostess gifts for couple,275.0,1101.0,30.0,4000.0,26, for couple,5
married couple gifts,145.0,1163.0,-6.0,8000.0,26, for couple,1
gifts for newlyweds,116.0,1164.0,12.0,10000.0,27, for couple,1
work anniversary gifts,13.0,1164.0,-21.0,90000.0,26, for couple,2
birthday gifts for husband from wife,43.0,1285.0,-11.0,30000.0,26, for couple,3
wife christmas gifts,14.0,1285.0,2910.0,90000.0,26, for couple,3
cool gifts for wife birthday,32.0,1287.0,-7.0,40000.0,26, for couple,3
cool anniversary gifts for husband,129.0,1290.0,-26.0,10000.0,26, for couple,8
marriage gifts,137.0,1365.0,-3.0,10000.0,26, for couple,1
gifts for husbands,14.0,1365.0,56.0,100000.0,26, for couple,4
wedding gift for couple,23.0,1366.0,-15.0,60000.0,26, for couple,1
wife birthday gift,14.0,1366.0,0.0,100000.0,27, for couple,3
gift for wife birthday,14.0,1366.0,-7.0,100000.0,26, for couple,3
gifts for couples unique,34.0,1366.0,78.0,40000.0,26, for couple,5
top gifts for husband,1895.0,1366.0,31.0,721.0,26, for couple,4
wedding gifts for couple,46.0,1375.0,-12.0,30000.0,29, for couple,1
bridal gifts for bride,46.0,1379.0,-15.0,30000.0,26, for couple,6
wife gift,15.0,1535.0,-4.0,100000.0,26, for couple,3
relationship gifts,53.0,1582.0,-3.0,30000.0,27, for couple,5
gifts for wife birthday,16.0,1611.0,-14.0,100000.0,26, for couple,3
adventure book for couples,221.0,1765.0,2.0,8000.0,27, for couple,7
gifts for newly engaged couples,588.0,1765.0,-24.0,3000.0,29, for couple,1
gift for couples,20.0,1767.0,44.0,90000.0,26, for couple,5
wedding gifts for guests,37.0,1827.0,-13.0,50000.0,27, for couple,6
wedding anniversary gifts for couple,46.0,1829.0,-10.0,40000.0,26, for couple,2
couple gift,20.0,1834.0,29.0,90000.0,27, for couple,5
wife gifts from husband,37.0,1839.0,1.0,50000.0,27, for couple,3
mens anniversary gift for husband,46.0,1839.0,-18.0,40000.0,27, for couple,8
husband gifts for christmas,31.0,1846.0,224.0,60000.0,27, for couple,4
bride gift,30.0,2073.0,-15.0,70000.0,27, for couple,9
birthday gift for wife,21.0,2085.0,-12.0,100000.0,27, for couple,3
wedding anniversary gifts for wife,29.0,2286.0,-30.0,80000.0,27, for couple,2
christmas gift for wife,23.0,2286.0,258.0,100000.0,27, for couple,3
couples gift,27.0,2433.0,46.0,90000.0,29, for couple,5
anniversary gifts for couple,41.0,2434.0,-10.0,60000.0,27, for couple,2
christmas gift for husband,41.0,2434.0,190.0,60000.0,27, for couple,4
anniversary gift,30.0,2982.0,-21.0,100000.0,28, for couple,2
birthday gifts for husband,30.0,2982.0,-22.0,100000.0,29, for couple,4
anniversary gifts for wife,30.0,2991.0,-17.0,100000.0,28, for couple,2
best husband anniversary gift,65.0,3265.0,-20.0,50000.0,28, for couple,8
newly wed gifts for the couple,1094.0,3281.0,-7.0,3000.0,28, for couple,1
christmas gifts for couples,83.0,3308.0,176.0,40000.0,28, for couple,5
wedding gifts for newlyweds,346.0,3457.0,-9.0,10000.0,29, for couple,1
birthday gifts for wife,43.0,4346.0,-5.0,100000.0,31, for couple,3
gift for wife,47.0,4679.0,1.0,100000.0,30, for couple,3
gift for husband,54.0,5426.0,31.0,100000.0,32, for couple,4
cool wife birthday gifts,136.0,5432.0,-13.0,40000.0,31, for couple,3
wife gifts,57.0,5724.0,9.0,100000.0,33, for couple,3
christmas gifts for wife,64.0,6431.0,264.0,100000.0,33, for couple,3
wedding registry gifts,3556.0,7111.0,0.0,2000.0,33, for couple,9
wedding gift,86.0,8608.0,-25.0,100000.0,35, for couple,9
christmas gifts for husband,148.0,8854.0,190.0,60000.0,35, for couple,4
husband birthday gift,89.0,8856.0,-16.0,100000.0,35, for couple,8
long distance relationship gifts,2953.0,8858.0,-19.0,3000.0,39, for couple,5
gifts for couples,114.0,10294.0,78.0,90000.0,40, for couple,5
husband gifts,116.0,11561.0,38.0,100000.0,40, for couple,4
gifts for wife,135.0,13524.0,60.0,100000.0,44, for couple,3
bride gifts,193.0,13527.0,-32.0,70000.0,42, for couple,9
couples gifts,217.0,19554.0,32.0,90000.0,49, for couple,5
gifts for husband,210.0,21047.0,63.0,100000.0,51, for couple,4
couple gifts,263.0,23690.0,15.0,90000.0,53, for couple,5
wedding gifts,491.0,49147.0,-22.0,100000.0,90, for couple,6
