Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
quick fathers day gifts,43.0,304.0,-7.0,7000.0,8, for dad,7
gifts for fathers birthday,3.0,305.0,3.0,100000.0,8, for dad,1
gourmet gifts for dad,788.0,305.0,61.0,387.0,8, for dad,9
fathers day plant gifts,44.0,305.0,46.0,7000.0,8, for dad,7
fathera day gift,3.0,307.0,16.0,100000.0,8, for dad,8
popcorn fathers day gifts,2525.0,308.0,-3.0,122.0,8, for dad,7
fathers say gifts,3.0,311.0,-3.0,100000.0,8, for dad,7
father day gift from dog,3.0,311.0,11.0,100000.0,8, for dad,8
overnight dad gifts,420.0,313.0,17.0,745.0,8, for dad,9
custom picture gifts for dad,3.0,315.0,7.0,100000.0,8, for dad,9
birthday gifts for father,3.0,321.0,-9.0,100000.0,8, for dad,1
gigts for dad,3.0,326.0,5.0,100000.0,8, for dad,4
dad gift ,11.0,335.0,11.0,30000.0,8, for dad,5
top christmas gifts for dads,0.0,337.0,,0.0,8, for dad,3
 for dad gifts,3.0,342.0,40.0,100000.0,8, for dad,9
gifts dad,3.0,349.0,90.0,100000.0,8, for dad,5
dads gift,4.0,351.0,11.0,100000.0,8, for dad,5
gift for boyfriends dad,12.0,357.0,291.0,30000.0,8, for dad,9
gift for someone who lost their dad,383.0,357.0,-15.0,932.0,8, for dad,6
best father daughter gifts,0.0,358.0,,0.0,8, for dad,5
gifts for dad to be,6.0,364.0,2.0,60000.0,8, for dad,9
gift dad,4.0,369.0,83.0,100000.0,8, for dad,5
parents gift,4.0,369.0,-1.0,100000.0,8, for dad,5
fathers day gift,4.0,371.0,87.0,100000.0,8, for dad,8
birthday gifts dad,4.0,371.0,-1.0,100000.0,8, for dad,0
useful gifts for new dad,0.0,373.0,,0.0,8, for dad,9
presents for dads birthday,19.0,374.0,1.0,20000.0,8, for dad,1
older dad gifts,19.0,374.0,14.0,20000.0,8, for dad,9
father to be gifts,4.0,376.0,33.0,100000.0,8, for dad,5
gifts for daddy,39.0,387.0,29.0,10000.0,8, for dad,9
gifts dor dad,4.0,387.0,-7.0,100000.0,8, for dad,5
father's day gifts,4.0,387.0,0.0,100000.0,8, for dad,7
cool gifts for dads,4.0,392.0,-36.0,90000.0,8, for dad,9
gift for dad who has everything,135.0,404.0,4.0,3000.0,8, for dad,6
goft for dad,4.0,404.0,61.0,100000.0,8, for dad,2
dad presents for birthday,20.0,406.0,-2.0,20000.0,8, for dad,1
birthday gift dad,5.0,419.0,12.0,90000.0,8, for dad,0
christmas gofts for dad,5.0,420.0,14.0,80000.0,8, for dad,2
best gifts for dads,4.0,424.0,27.0,100000.0,8, for dad,9
christmas gifts for boyfriends dad,11.0,431.0,88.0,40000.0,8, for dad,3
funny gift for dad,7.0,433.0,12.0,60000.0,8, for dad,6
gifts for a dad,4.0,433.0,11.0,100000.0,8, for dad,9
