Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
halloween gifts for family,3.0,301.0,535.0,100000.0,8, for family,1
halloween family gifts,30.0,301.0,29.0,10000.0,8, for family,1
christmas gifts for family groups,3.0,308.0,11.0,100000.0,8, for family,1
christmas gift grandma,3.0,315.0,19.0,100000.0,8, for family,3
christmas presents for couples,32.0,323.0,25.0,10000.0,8, for family,1
the gift of christmas,2.0,328.0,339.0,200000.0,8, for family,2
cooking christmas gifts,17.0,334.0,624.0,20000.0,8, for family,2
filled christmas stockings for adults,6.0,334.0,2.0,60000.0,8, for family,0
funny but useful christmas gifts,1064.0,334.0,-10.0,314.0,8, for family,6
gingerbread themed gifts,0.0,334.0,,0.0,8, for family,2
christmas gifts family,3.0,335.0,294.0,100000.0,8, for family,1
christmas gift tracker,335.0,335.0,,1000.0,8, for family,2
cool gifts for christmas,3.0,335.0,92.0,100000.0,8, for family,6
christmas family gift,3.0,335.0,162.0,100000.0,8, for family,1
35 secret santa gifts,0.0,337.0,,0.0,8, for family,2
grandparent gifts for christmas,17.0,342.0,280.0,20000.0,8, for family,3
college student christmas gifts,49.0,342.0,46.0,7000.0,8, for family,2
christmas present ribbon for gifts,0.0,342.0,,0.0,8, for family,2
christmas gifts for nerds,9.0,344.0,127.0,40000.0,8, for family,2
christmas gifts for football players,344.0,344.0,,1000.0,8, for family,2
white christmas movie themed gifts,0.0,346.0,,0.0,8, for family,2
christmas gifts food,994.0,349.0,171.0,351.0,8, for family,2
cheap but thoughtful christmas gifts,87.0,349.0,47.0,4000.0,8, for family,9
christmas adult bulk gifts,0.0,349.0,,0.0,8, for family,5
christmas snoopy gifts,0.0,349.0,,0.0,8, for family,2
beauty christmas gifts,39.0,351.0,124.0,9000.0,8, for family,2
christmas simmer pot gifts,0.0,351.0,,0.0,8, for family,2
"marvel spidey and his amazing friends dance 'n crawl spidey interactive plush toy, christmas gifts f",0.0,355.0,,0.0,8, for family,2
god's gift of christmas book,0.0,357.0,,0.0,8, for family,2
chistmas gifts,2.0,358.0,3.0,200000.0,8, for family,2
9 month christmas gifts,0.0,358.0,,0.0,8, for family,9
unique gifts for grandparents,36.0,360.0,70.0,10000.0,8, for family,3
vintage christmas gift tags stickers,0.0,360.0,,0.0,8, for family,2
presents for christmas,12.0,362.0,124.0,30000.0,8, for family,2
"christmas lighted gift es, of 3 christmas decorations for home, light up christmas ornaments,",0.0,364.0,,0.0,8, for family,5
christmas gift food,18.0,365.0,122.0,20000.0,8, for family,2
cute things for christmas,3318.0,365.0,104.0,110.0,8, for family,6
christmas spa gifts,37.0,371.0,12.0,10000.0,8, for family,2
christmas gifts for in laws,19.0,376.0,295.0,20000.0,8, for family,7
christmas gifts for gardeners,19.0,376.0,103.0,20000.0,8, for family,2
christmas gifts for young couples,191.0,381.0,30.0,2000.0,8, for family,1
christmas gifts for the family,4.0,381.0,51.0,100000.0,8, for family,1
mens gifts christmas,4.0,385.0,2.0,100000.0,8, for family,4
christmas gifts for siblings,48.0,387.0,67.0,8000.0,8, for family,1
best christmas gifts for grandma,10.0,388.0,12.0,40000.0,8, for family,3
18 year old christmas gifts,388.0,388.0,226.0,1000.0,8, for family,2
christmas gifts for cooks,4.0,392.0,-9.0,100000.0,8, for family,2
goth christmas gifts,40.0,396.0,95.0,10000.0,8, for family,2
christmas movie gifts,20.0,401.0,138.0,20000.0,8, for family,2
christmas gifts for home,4.0,401.0,286.0,100000.0,8, for family,2
funny gag gifts for christmas,20.0,401.0,12.0,20000.0,8, for family,6
christmas gift exchange,41.0,406.0,109.0,10000.0,8, for family,2
top 100 christmas gifts,41.0,406.0,-23.0,10000.0,8, for family,2
christmas gifts small,2.0,410.0,39.0,200000.0,8, for family,9
bulk xmas gifts,4.0,413.0,209.0,100000.0,8, for family,5
christmas kitchen gifts,4.0,420.0,211.0,100000.0,8, for family,2
tiny christmas gifts,2566.0,426.0,1.0,166.0,8, for family,9
unique gifts for christmas,810.0,426.0,216.0,526.0,8, for family,2
christmas present for grandma,2.0,427.0,119.0,200000.0,8, for family,3
10 christmas gifts,2283.0,427.0,794.0,187.0,8, for family,2
christmas gifts for your parents,4.0,431.0,8.0,100000.0,8, for family,1
christmas ornaments bulk gifts,4.0,431.0,,100000.0,8, for family,5
christmas stockings gifts,7.0,433.0,23.0,60000.0,8, for family,0
best gifts for grandma christmas,9.0,435.0,234.0,50000.0,8, for family,3
unique xmas gifts,11.0,438.0,215.0,40000.0,8, for family,2
cozy christmas gifts,9.0,438.0,63.0,50000.0,8, for family,2
christmas gifts grandma,4.0,443.0,339.0,100000.0,8, for family,3
unique christmas gifts for family,1926.0,445.0,290.0,231.0,8, for family,1
odd christmas gifts,447.0,447.0,134.0,1000.0,8, for family,2
christmas work gifts,4.0,447.0,819.0,100000.0,8, for family,2
funny gifts for christmas,4.0,447.0,389.0,100000.0,8, for family,6
chritmas gifts,2.0,449.0,64.0,200000.0,8, for family,8
random christmas gifts,1539.0,454.0,410.0,295.0,8, for family,2
christmas gifts for college student,76.0,454.0,51.0,6000.0,8, for family,2
burt's bees christmas gifts,4090.0,454.0,68.0,111.0,8, for family,2
small gifts for christmas,2.0,456.0,89.0,200000.0,8, for family,9
christmas gifts for everyone,11.0,458.0,118.0,40000.0,8, for family,2
a family christmas gift,9.0,459.0,113.0,50000.0,8, for family,1
best family gifts for christmas,5.0,463.0,95.0,100000.0,8, for family,1
in law christmas gifts,23.0,466.0,111.0,20000.0,8, for family,7
great christmas gifts,5.0,466.0,747.0,100000.0,8, for family,6
christmas gifts for families,5.0,466.0,571.0,100000.0,8, for family,1
christmas gifts for anyone,52.0,466.0,-4.0,9000.0,8, for family,2
christmas gifts toddler,5.0,470.0,101.0,100000.0,8, for family,2
vintage christmas gifts,5.0,470.0,241.0,90000.0,8, for family,2
25 days of christmas gifts,47.0,470.0,678.0,10000.0,8, for family,2
christmas stocking gifts,8.0,473.0,267.0,60000.0,8, for family,0
christmas gifts for me,5.0,473.0,41.0,100000.0,8, for family,6
chirstmas gifts,2.0,475.0,268.0,200000.0,8, for family,2
holiday gifts for employees,119.0,475.0,,4000.0,8, for family,2
christmas exchange gifts,48.0,482.0,90.0,10000.0,9, for family,2
parent gifts for christmas,2069.0,482.0,824.0,233.0,9, for family,1
older parents christmas gifts,96.0,482.0,409.0,5000.0,9, for family,1
christmas family gifts,5.0,484.0,246.0,100000.0,9, for family,1
funny weird christmas gifts,69.0,484.0,,7000.0,9, for family,6
cristmas gifts,2.0,486.0,3511.0,200000.0,9, for family,8
christmas gifts for college students,81.0,486.0,256.0,6000.0,9, for family,2
co worker christmas gifts,27.0,534.0,369.0,20000.0,9, for family,2
grandma christmas gift,11.0,534.0,1348.0,50000.0,9, for family,3
christmas gifts for grandmas,5.0,534.0,267.0,100000.0,9, for family,3
christmas gifts cheap,3.0,535.0,115.0,200000.0,9, for family,9
weird christmas gifts,89.0,535.0,607.0,6000.0,9, for family,2
co-worker christmas gifts,27.0,535.0,229.0,20000.0,9, for family,2
gifts christmas,6.0,571.0,181.0,100000.0,9, for family,2
grandparent christmas gifts,29.0,571.0,355.0,20000.0,9, for family,3
aesthetic christmas gifts,10.0,571.0,305.0,60000.0,9, for family,2
christmas gifts for family members,14.0,573.0,,40000.0,9, for family,1
christmas gifts,3391.0,573.0,,169.0,9, for family,2
christmas gift for grandparents,32.0,644.0,129.0,20000.0,10, for family,3
silly christmas gifts,161.0,644.0,356.0,4000.0,10, for family,6
useful christmas gifts,24.0,713.0,109.0,30000.0,10, for family,6
grandparents gifts for christmas,36.0,713.0,219.0,20000.0,10, for family,3
trendy christmas gifts,2841.0,713.0,212.0,251.0,10, for family,2
christmas gifts for inlaws,238.0,713.0,740.0,3000.0,10, for family,7
gifts for grandma christmas,8.0,713.0,309.0,90000.0,10, for family,3
christmasgifts,7.0,713.0,252.0,100000.0,10, for family,2
christmas presents for grandma,21.0,844.0,120.0,40000.0,11, for family,3
christmas hostess gifts,84.0,844.0,132.0,10000.0,11, for family,2
