Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
valentines gifts friends,3.0,301.0,-14.0,100000.0,8, for friends,8
gifts for three friends,3.0,303.0,62.0,100000.0,8, for friends,9
birthday gifts for a friend,2.0,303.0,-9.0,200000.0,8, for friends,1
friend valentine gift,3.0,305.0,39.0,100000.0,8, for friends,8
gifts for friends tv show fans,604.0,306.0,21.0,507.0,8, for friends,9
cheap little gifts for friends,3.0,309.0,,100000.0,8, for friends,0
gifts for friend woman,3.0,310.0,161.0,100000.0,8, for friends,3
beat friend christmas gifts,3.0,321.0,113.0,100000.0,8, for friends,6
christmas presents for friends,4.0,334.0,164.0,90000.0,8, for friends,9
gift for depressed friend,392.0,342.0,46.0,873.0,8, for friends,2
cute gifts for best friends,3.0,344.0,-7.0,100000.0,8, for friends,4
sentimental gifts for best friend woman,0.0,355.0,,0.0,8, for friends,3
gifts for guy best friend from girl,357.0,357.0,203.0,1000.0,8, for friends,3
gifts to get your best friend,4.0,364.0,111.0,100000.0,8, for friends,7
funny christmas gifts for friends,4.0,364.0,176.0,90000.0,8, for friends,9
gifts to cheer up a friend,37.0,369.0,-9.0,10000.0,8, for friends,2
christmas gifts for friend,2.0,376.0,335.0,200000.0,8, for friends,9
anniversary gifts for friends,4.0,388.0,-2.0,100000.0,8, for friends,1
gifts for pregnant friend,78.0,392.0,24.0,5000.0,8, for friends,2
teacher friend gifts,4.0,394.0,-9.0,90000.0,8, for friends,2
top 10 birthday gifts for friend,80.0,399.0,7.0,5000.0,8, for friends,1
fun gifts for friends,4.0,401.0,224.0,100000.0,8, for friends,9
best gift for friends,4.0,406.0,-6.0,100000.0,8, for friends,7
cute best friend gifts,4.0,413.0,13.0,100000.0,8, for friends,4
christmas gift for friends,2.0,419.0,34.0,200000.0,8, for friends,9
gift for a friend,2.0,427.0,0.0,200000.0,8, for friends,2
friend birthday gifts,4.0,431.0,-15.0,100000.0,8, for friends,1
friends birthday gifts,2.0,433.0,-8.0,200000.0,8, for friends,1
small friend gifts,4.0,436.0,26.0,100000.0,8, for friends,0
gifts for best friends women birthday,4.0,438.0,-23.0,100000.0,8, for friends,3
sentimental gifts for friend,45.0,447.0,-5.0,10000.0,8, for friends,2
cute small gifts for friends,5.0,450.0,-20.0,100000.0,8, for friends,4
small gifts for friends,5.0,452.0,16.0,100000.0,8, for friends,0
birthday gifts for female friend,5.0,459.0,-4.0,100000.0,8, for friends,5
cute friend gifts,5.0,465.0,-5.0,100000.0,8, for friends,4
gifts for friends male,5.0,473.0,5.0,100000.0,8, for friends,2
christmas gift for best friend,5.0,481.0,149.0,100000.0,9, for friends,7
gifts for a friend,2.0,484.0,2.0,200000.0,9, for friends,2
christmas gift for friends female,5.0,486.0,1275.0,100000.0,9, for friends,5
funny friend gifts,5.0,534.0,0.0,100000.0,9, for friends,2
gift for friends,3.0,535.0,4.0,200000.0,9, for friends,2
christmas gifts for friends female,6.0,571.0,38.0,100000.0,9, for friends,5
friendgiving gifts,2076.0,573.0,,276.0,9, for friends,2
thanksgiving gifts for friends,6.0,642.0,112.0,100000.0,10, for friends,9
birthday gifts for friends,6.0,644.0,-15.0,100000.0,10, for friends,1
gift for pregnant friend,129.0,644.0,2.0,5000.0,10, for friends,2
friends gift,4.0,713.0,13.0,200000.0,10, for friends,2
birthday gift for friend,7.0,713.0,-19.0,100000.0,10, for friends,1
gifts for her birthday friend,10.0,773.0,11.0,80000.0,11, for friends,1
cute gifts for friends,8.0,844.0,6.0,100000.0,11, for friends,4
gift for a friend female,8.0,844.0,-1.0,100000.0,11, for friends,5
friend christmas gifts,8.0,845.0,87.0,100000.0,11, for friends,9
friend birthday gift,5.0,907.0,-13.0,200000.0,12, for friends,1
birthday gift for best friend woman,9.0,907.0,-31.0,100000.0,12, for friends,3
friendship gift,13.0,909.0,17.0,70000.0,12, for friends,2
going away gifts for friends,152.0,909.0,-38.0,6000.0,12, for friends,9
birthday gift for friend woman,9.0,909.0,-1.0,100000.0,12, for friends,5
birthday gifts for friend,5.0,909.0,-14.0,200000.0,12, for friends,1
best friend christmas gift,12.0,1163.0,221.0,100000.0,26, for friends,7
friends themed gifts,13.0,1290.0,3.0,100000.0,26, for friends,9
birthday gifts for friends female,14.0,1366.0,5.0,100000.0,27, for friends,5
birthday gifts for best friend,14.0,1366.0,-12.0,100000.0,26, for friends,1
christmas gifts for best friend,14.0,1375.0,120.0,100000.0,26, for friends,7
gifts for friends female,15.0,1535.0,72.0,100000.0,27, for friends,5
gifts for friend,16.0,1588.0,15.0,100000.0,26, for friends,2
gift for friend,9.0,1837.0,-3.0,200000.0,27, for friends,2
friends gifts,11.0,2245.0,63.0,200000.0,27, for friends,9
friend gift,24.0,2431.0,14.0,100000.0,28, for friends,2
gift for friend woman,24.0,2431.0,3.0,100000.0,27, for friends,3
friendship gifts,58.0,3458.0,-10.0,60000.0,35, for friends,2
christmas gifts for friends,35.0,3460.0,192.0,100000.0,28, for friends,9
funny gifts for friends,41.0,4123.0,37.0,100000.0,29, for friends,9
friend gifts,22.0,4342.0,27.0,200000.0,30, for friends,2
gifts for best friend woman,64.0,6434.0,19.0,100000.0,32, for friends,3
gifts for friends,81.0,8092.0,41.0,100000.0,35, for friends,9
best friend gifts,195.0,19476.0,23.0,100000.0,47, for friends,7
