Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
goft for her,3.0,301.0,-3.0,100000.0,8, for gf,3
valentines day food gifts for her,379.0,302.0,10.0,797.0,8, for gf,8
cute things for girlfriend,38.0,303.0,-23.0,8000.0,8, for gf,2
 forgive me gifts for her,1056.0,303.0,3.0,287.0,8, for gf,4
valentines day gifts for her same day delivery,372.0,304.0,1.0,817.0,8, for gf,8
top valentine's gifts for her,3.0,305.0,3.0,100000.0,8, for gf,8
easter gift for female friend,1311.0,308.0,26.0,235.0,8, for gf,4
valentines day gift for her,16.0,310.0,11.0,20000.0,8, for gf,8
valentines day gifts for her same day,106.0,318.0,14.0,3000.0,8, for gf,8
cute things for gf,778.0,319.0,5.0,410.0,8, for gf,2
girfts for her,3.0,320.0,6.0,100000.0,8, for gf,9
cool gifts for girlfriend birthday,11.0,321.0,-9.0,30000.0,8, for gf,6
wool anniversary gifts for her,602.0,322.0,-18.0,535.0,8, for gf,7
unique girlfriend gifts,4.0,325.0,-22.0,80000.0,8, for gf,6
christmas gifts for girlfriends,4.0,342.0,0.0,80000.0,8, for gf,6
jewelry gifts for girlfriend,0.0,349.0,,0.0,8, for gf,6
gifts for gf birthday,119.0,357.0,-20.0,3000.0,8, for gf,1
girlfriend birthday gifts for women,4.0,357.0,55.0,100000.0,8, for gf,6
20 gifts for her,0.0,358.0,,0.0,8, for gf,4
things for your girlfriend,36.0,360.0,-22.0,10000.0,8, for gf,2
gifts for female friend,4.0,364.0,72.0,100000.0,8, for gf,1
 for her christmas gifts,4.0,364.0,-6.0,90000.0,8, for gf,0
gift for girlfriend unique,5.0,369.0,57.0,80000.0,8, for gf,1
gifts for girlfriends women,4.0,374.0,152.0,100000.0,8, for gf,6
gf gift,47.0,376.0,-4.0,8000.0,8, for gf,1
holiday gifts for her,8.0,376.0,82.0,50000.0,8, for gf,4
birthday gifts for her adult,19.0,376.0,-13.0,20000.0,8, for gf,4
sweet gifts for her,13.0,378.0,-11.0,30000.0,8, for gf,5
gufts for her,4.0,381.0,5.0,100000.0,8, for gf,3
sentimental gifts for girlfriend,77.0,385.0,67.0,5000.0,8, for gf,6
gift  for her,5.0,387.0,283.0,80000.0,8, for gf,0
cozy gifts for her,19.0,388.0,57.0,20000.0,8, for gf,5
good gifts for girlfriend,5.0,401.0,-11.0,80000.0,8, for gf,6
flowers for girlfriend,41.0,410.0,1.0,10000.0,8, for gf,6
birthday her gifts,4.0,410.0,,100000.0,8, for gf,4
girlfriend anniversary gifts,5.0,413.0,-7.0,80000.0,8, for gf,7
christmas presents for her,8.0,415.0,35.0,50000.0,8, for gf,4
gifts to get your girlfriend,14.0,424.0,71.0,30000.0,8, for gf,6
presents for her,5.0,426.0,29.0,90000.0,8, for gf,4
girlfriends gifts,4.0,427.0,9.0,100000.0,8, for gf,6
gift for her,14.0,427.0,149.0,30000.0,8, for gf,0
unique birthday gifts for her,9.0,440.0,2.0,50000.0,8, for gf,5
wellness gifts for her,4.0,442.0,12.0,100000.0,8, for gf,4
funny gifts for her,9.0,443.0,25.0,50000.0,8, for gf,5
gf gifts for her,148.0,443.0,6.0,3000.0,8, for gf,1
things for her,9.0,445.0,7.0,50000.0,8, for gf,0
 for her gifts romantic,45.0,447.0,6.0,10000.0,8, for gf,0
gift for girlfriend birthday,4.0,447.0,-18.0,100000.0,8, for gf,1
gifts for anniversary for her,5.0,450.0,-10.0,100000.0,8, for gf,7
cute anniversary gifts for her,15.0,450.0,-10.0,30000.0,8, for gf,7
couple gifts for her,11.0,454.0,-4.0,40000.0,8, for gf,5
best gifts for her,5.0,454.0,26.0,100000.0,8, for gf,5
small gifts for girlfriend,5.0,454.0,-1.0,100000.0,8, for gf,6
unique gifts for her,6.0,463.0,26.0,80000.0,8, for gf,5
cute gifts for her,5.0,463.0,2.0,100000.0,8, for gf,5
small gifts for her,5.0,463.0,-10.0,100000.0,8, for gf,5
gifts fir her,5.0,463.0,5.0,100000.0,8, for gf,0
funny gifts for girlfriend,16.0,477.0,3.0,30000.0,8, for gf,6
best girlfriend gifts,5.0,481.0,1.0,100000.0,9, for gf,6
cute gifts for girlfriend,5.0,482.0,-18.0,90000.0,9, for gf,2
anniversary gifts for girlfriend,5.0,484.0,-4.0,100000.0,9, for gf,7
presents for girlfriend,8.0,484.0,-4.0,60000.0,9, for gf,6
things for girlfriend,48.0,484.0,6.0,10000.0,9, for gf,2
christmas presents for girlfriend,12.0,486.0,1766.0,40000.0,9, for gf,6
gift for female friend,6.0,571.0,4.0,100000.0,9, for gf,1
gifts for girlfriend christmas,6.0,573.0,146.0,100000.0,9, for gf,6
 for girlfriend,6.0,628.0,4.0,100000.0,10, for gf,9
anniversary gift for her,6.0,642.0,-20.0,100000.0,10, for gf,7
valentines day gifts for her,7.0,644.0,7.0,90000.0,10, for gf,8
 for her birthday,6.0,644.0,-5.0,100000.0,10, for gf,0
gifts for her wife,6.0,644.0,49.0,100000.0,10, for gf,5
gifts for girlfriends,7.0,713.0,-2.0,100000.0,10, for gf,6
birthday for her,1384.0,713.0,-9.0,515.0,10, for gf,0
gofts for her,7.0,713.0,25.0,100000.0,10, for gf,3
christmas gift for her,8.0,773.0,123.0,100000.0,11, for gf,0
gift for gf,97.0,773.0,0.0,8000.0,11, for gf,1
gifts for her christmas,9.0,773.0,165.0,90000.0,11, for gf,4
gift for her birthday,8.0,844.0,-4.0,100000.0,11, for gf,0
birthday gift for her,9.0,909.0,-10.0,100000.0,12, for gf,0
birthday gift for girlfriend,9.0,909.0,-19.0,100000.0,12, for gf,1
girlfriend gift,12.0,1166.0,11.0,100000.0,26, for gf,1
gifts for your girlfriend,14.0,1365.0,28.0,100000.0,26, for gf,6
necklace gift  for her,683.0,1365.0,-3.0,2000.0,26, for gf,5
gifts for her unique,17.0,1373.0,41.0,80000.0,26, for gf,5
best anniversary gifts for her,14.0,1379.0,-25.0,100000.0,26, for gf,7
christmas for her,15.0,1533.0,218.0,100000.0,26, for gf,4
aniversario gift for her,27.0,1611.0,-5.0,60000.0,26, for gf,4
best gifts for girlfriend,18.0,1761.0,-17.0,100000.0,26, for gf,6
 for her gifts,18.0,1832.0,16.0,100000.0,27, for gf,0
anniversary gifts for her,18.0,1837.0,0.0,100000.0,26, for gf,7
cute gifts for girlfriends,23.0,2085.0,3.0,90000.0,27, for gf,2
top 10 birthday gifts for her,232.0,2085.0,-39.0,9000.0,27, for gf,5
girlfriend gifts for women,23.0,2284.0,44.0,100000.0,27, for gf,6
gifts for gf,304.0,2429.0,26.0,8000.0,27, for gf,1
cool girlfriend birthday gifts,81.0,2433.0,41.0,30000.0,27, for gf,6
gifts for her birthday,27.0,2686.0,-7.0,100000.0,27, for gf,4
birthday gifts for girlfriend,33.0,3306.0,-11.0,100000.0,29, for gf,6
girlfriend christmas gifts,41.0,3310.0,290.0,80000.0,28, for gf,6
birthday gifts for her,36.0,3641.0,-7.0,100000.0,29, for gf,4
romantic gifts for her,412.0,4123.0,2.0,10000.0,29, for gf,5
 for her,82.0,4123.0,23.0,50000.0,35, for gf,9
gift for her,43.0,4337.0,8.0,100000.0,30, for gf,0
gift for girlfriend,54.0,5432.0,-7.0,100000.0,31, for gf,1
christmas gifts for girlfriend,108.0,8622.0,222.0,80000.0,35, for gf,6
girlfriend gifts,135.0,13527.0,-3.0,100000.0,42, for gf,6
gifts for girlfriend,248.0,24806.0,2.0,100000.0,55, for gf,6
gifts for her,511.0,51124.0,62.0,100000.0,86, for gf,0
taylor swift gifts,39489.0,78978.0,28.0,2000.0,118, for gf,4
