Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
easter gifts for college guys,405.0,301.0,9.0,743.0,8, for guy friend,0
mens gift for birthday,3.0,305.0,39.0,100000.0,8, for guy friend,3
grooms mens gifts,31.0,305.0,-45.0,10000.0,8, for guy friend,1
fun gifts for boyfriend,31.0,306.0,-3.0,10000.0,8, for guy friend,6
cool things for guys apartment,1437.0,306.0,1.0,213.0,8, for guy friend,4
gifts for boyfriends birthday,3.0,308.0,-11.0,100000.0,8, for guy friend,2
college student care package for guys,1030.0,309.0,-6.0,300.0,8, for guy friend,0
birthday gifts for old guys,103.0,309.0,-36.0,3000.0,8, for guy friend,4
guy friend gifts,31.0,312.0,39.0,10000.0,8, for guy friend,8
funny mens birthday gifts,3.0,312.0,5.0,90000.0,8, for guy friend,7
mens self care gifts,63.0,313.0,37.0,5000.0,8, for guy friend,1
cool guys gifts,16.0,322.0,11.0,20000.0,8, for guy friend,8
mens gifts for anniversary,3.0,325.0,-25.0,100000.0,8, for guy friend,3
male teacher christmas gift,0.0,332.0,,0.0,8, for guy friend,9
guys gift,42.0,334.0,289.0,8000.0,8, for guy friend,8
gifts for guy,11.0,342.0,262.0,30000.0,8, for guy friend,8
adult male gifts,34.0,344.0,107.0,10000.0,8, for guy friend,1
cool gifts for old guys,172.0,344.0,-38.0,2000.0,8, for guy friend,4
18 yr old male gifts,0.0,344.0,,0.0,8, for guy friend,1
nerdy guy gifts,401.0,348.0,85.0,867.0,8, for guy friend,8
gift for boyfriend anniversary,9.0,349.0,0.0,40000.0,8, for guy friend,2
fun mens gifts,4.0,357.0,19.0,100000.0,8, for guy friend,7
gifts for guy friend,51.0,357.0,98.0,7000.0,8, for guy friend,8
gifts for guy best friend,36.0,364.0,28.0,10000.0,8, for guy friend,8
cute gift for boyfriend,18.0,364.0,0.0,20000.0,8, for guy friend,6
cool gifts for nerdy guys,524.0,364.0,-32.0,694.0,8, for guy friend,4
cool retirement gifts for guys,0.0,364.0,,0.0,8, for guy friend,4
birthday gifts for boyfriend adult,37.0,365.0,-9.0,10000.0,8, for guy friend,2
scrapbook for boyfriend,695.0,367.0,-2.0,528.0,8, for guy friend,2
cool gifts for male teachers,0.0,371.0,,0.0,8, for guy friend,9
male birthday gifts,4.0,374.0,-40.0,100000.0,8, for guy friend,3
mens fun gifts,4.0,374.0,310.0,100000.0,8, for guy friend,7
birthday gifts for guys,19.0,376.0,-7.0,20000.0,8, for guy friend,4
cute simple gifts for boyfriend,125.0,376.0,-6.0,3000.0,8, for guy friend,6
funny gift for boyfriend,13.0,381.0,3.0,30000.0,8, for guy friend,6
christmas gifts for guy friends,95.0,381.0,177.0,4000.0,8, for guy friend,5
nerdy boyfriend gifts,679.0,385.0,86.0,567.0,8, for guy friend,2
