Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
mothers day gifts outdoor decorations,43.0,300.0,54.0,7000.0,8, for mom,2
mothers day gifts for mom packages,15.0,300.0,19.0,20000.0,8, for mom,2
birthday gift for mother,3.0,301.0,-27.0,100000.0,8, for mom,3
best gift for mother's day,2.0,301.0,15.0,200000.0,8, for mom,2
birthday gifts for new mothers,3.0,301.0,-16.0,90000.0,8, for mom,1
 for moms gifts,3.0,301.0,22.0,100000.0,8, for mom,0
gifts for mom same day delivery,151.0,301.0,3.0,2000.0,8, for mom,2
birthday gifts fir mom,3.0,302.0,149.0,100000.0,8, for mom,3
unique mom gifts,4.0,302.0,6.0,80000.0,8, for mom,1
mothers day bundle gifts for mom,423.0,302.0,41.0,714.0,8, for mom,2
dachshund mothers day gifts,101.0,302.0,42.0,3000.0,8, for mom,2
best mothers day gifts for wife,4.0,303.0,-2.0,70000.0,8, for mom,2
garden decor for mothers day,38.0,303.0,58.0,8000.0,8, for mom,2
mothers day gift ebt,3897.0,304.0,-3.0,78.0,8, for mom,2
grandma mothers day gift garden,10.0,305.0,8.0,30000.0,8, for mom,4
mothers day gifts for mom relaxation,153.0,305.0,1.0,2000.0,8, for mom,2
unique+mother+gifts,3.0,306.0,59.0,100000.0,8, for mom,1
gifts for best mom,3.0,306.0,10.0,100000.0,8, for mom,5
mom gifts unique,2.0,308.0,-1.0,200000.0,8, for mom,0
mothers day practical gifts,10.0,308.0,22.0,30000.0,8, for mom,2
mom bday gift,3.0,310.0,-22.0,100000.0,8, for mom,3
cheistmas gift for mom,3.0,311.0,60.0,100000.0,8, for mom,5
romantic mothers day gifts,31.0,311.0,-3.0,10000.0,8, for mom,2
valentines day gift for mom from daughter,3.0,312.0,18.0,100000.0,8, for mom,3
gifts for mothers day from friend,3.0,314.0,6.0,100000.0,8, for mom,2
birthday gifts for new mother,3.0,314.0,-22.0,90000.0,8, for mom,1
outdoor mothers day gifts,5.0,316.0,45.0,70000.0,8, for mom,2
mothers day gifts for mom lego,1791.0,317.0,19.0,177.0,8, for mom,2
plant mothers day gifts,32.0,318.0,26.0,10000.0,8, for mom,2
practical mothers day gifts,11.0,319.0,12.0,30000.0,8, for mom,2
friendship mothers day gifts,16.0,320.0,-10.0,20000.0,8, for mom,2
gift mother in law,2.0,321.0,52.0,200000.0,8, for mom,9
mother day gifts for mom,3.0,321.0,-10.0,100000.0,8, for mom,2
gift fir mom,3.0,321.0,63.0,100000.0,8, for mom,0
mothers day gift for grandma,4.0,322.0,24.0,90000.0,8, for mom,4
cool gifts for moms,4.0,323.0,12.0,90000.0,8, for mom,5
chritmas gifts for mom,3.0,324.0,30.0,100000.0,8, for mom,7
gifts for mothers christmas,3.0,324.0,-7.0,100000.0,8, for mom,7
vintage mothers day gifts,11.0,324.0,1.0,30000.0,8, for mom,2
best gifts for grandma,3.0,325.0,45.0,100000.0,8, for mom,4
gifts for mom',3.0,326.0,-14.0,100000.0,8, for mom,5
best gardening gifts for mom,33.0,326.0,24.0,10000.0,8, for mom,2
gifts for mother in laws,17.0,334.0,95.0,20000.0,8, for mom,9
bday gifts for mom,3.0,335.0,-2.0,100000.0,8, for mom,3
