Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
horror movie gifts for women,75.0,300.0,-8.0,4000.0,8, for women,4
gifts for relaxation women,15.0,300.0,46.0,20000.0,8, for women,4
gift for office women,2.0,301.0,45.0,200000.0,8, for women,8
gift for adult woman,2.0,301.0,13.0,200000.0,8, for women,8
$15 gifts for women,4.0,301.0,83.0,80000.0,8, for women,6
womens gifts 10 dollars,3.0,301.0,143.0,100000.0,8, for women,6
gifts woman unique,3.0,301.0,-24.0,100000.0,8, for women,8
funny snuggies for adults,950.0,302.0,5.0,318.0,8, for women,5
gift for nature lover woman,60.0,302.0,8.0,5000.0,8, for women,8
chrismas gifts for women,3.0,302.0,12.0,100000.0,8, for women,1
valentines gifts for women,3.0,305.0,52.0,100000.0,8, for women,4
soft gifts for women,3.0,305.0,19.0,100000.0,8, for women,4
headed hoodies for women,153.0,305.0,80.0,2000.0,8, for women,3
silly headbands for women,569.0,308.0,333.0,541.0,8, for women,9
solar gifts for women,154.0,308.0,11.0,2000.0,8, for women,4
women's valentine's day gifts,3.0,308.0,13.0,100000.0,8, for women,4
women gift for anniversary,3.0,309.0,12.0,100000.0,8, for women,8
fancy tea cups for women,489.0,310.0,11.0,634.0,8, for women,0
10-15 dollar gifts for women,31.0,310.0,0.0,10000.0,8, for women,6
fall favorites gifts for women,31.0,310.0,-25.0,10000.0,8, for women,4
birthday women gifts,3.0,311.0,-8.0,100000.0,8, for women,2
women's birthday gift,3.0,311.0,37.0,100000.0,8, for women,2
birthday plants gifts for women,31.0,311.0,-7.0,10000.0,8, for women,2
gift for bestie woman,10.0,311.0,99.0,30000.0,8, for women,8
valentine gifts women,3.0,311.0,7.0,100000.0,8, for women,4
national women's day gifts,103667.0,311.0,21.0,3.0,8, for women,4
christmas unique gifts for women,2.0,311.0,,200000.0,8, for women,1
ghostface gifts for women,317.0,311.0,,981.0,8, for women,4
apartment gifts for women,31.0,312.0,40.0,10000.0,8, for women,4
popcorn gifts for women,312.0,312.0,14.0,1000.0,8, for women,4
