Keyword Phrase,Magnet IQ Score,Search Volume,Search Volume Trend,Competing Products,CPR,Cluster,Subcluster
horror movie gifts ,75.0,300.0,-8.0,4000.0,8, ,adjective
gifts relaxation ,15.0,300.0,46.0,20000.0,8, ,inspirational
soft gifts ,3.0,305.0,19.0,100000.0,8, ,adjective
solar gifts ,154.0,308.0,11.0,2000.0,8, ,adjective
ghostface gifts ,317.0,311.0,,981.0,8, ,adjective
best 's gifts,2.0,313.0,10.0,200000.0,8, ,adjective
thank you gifts appreciation,16.0,320.0,-2.0,20000.0,8, ,adjective
 office gifts,3.0,323.0,2.0,100000.0,8, ,work
cool gifts cool ,3.0,326.0,,100000.0,8, ,adjective
sourdough gifts ,0.0,330.0,,0.0,8, ,work
pickle lover gifts ,0.0,332.0,,0.0,8, ,adjective
homemade gifts ,84.0,334.0,51.0,4000.0,8, ,work
gifts nature lovers ,67.0,334.0,25.0,5000.0,8, ,adjective
gift candy ,17.0,334.0,440.0,20000.0,8, ,work
cute gifts,3.0,335.0,590.0,100000.0,8, ,adjective
awesome gifts ,4.0,337.0,13.0,90000.0,8, ,adjective
s small gifts,3.0,337.0,58.0,100000.0,8, ,work
s luxury gifts,6.0,337.0,66.0,60000.0,8, ,adjective
sometimes you forget your awesome gifts ,0.0,339.0,,0.0,8, ,adjective
gift packages ,3.0,342.0,13.0,100000.0,8, ,work
fashion gifts ,3.0,342.0,29.0,100000.0,8, ,work
black gifts,3.0,344.0,40.0,100000.0,8, ,adjective
 inspirational gifts,3.0,344.0,31.0,100000.0,8, ,inspirational
teachers gifts ,3.0,346.0,-7.0,100000.0,8, ,work
 pampering gifts,69.0,346.0,61.0,5000.0,8, ,work
s pampering gifts,69.0,346.0,29.0,5000.0,8, ,work
garden gifts ,9.0,349.0,77.0,40000.0,8, ,adjective
gifts minimalist ,17.0,349.0,1041.0,20000.0,8, ,work
gifts nerdy ,349.0,349.0,268.0,1000.0,8, ,adjective
gifts co workers ,2.0,349.0,191.0,200000.0,8, ,work
best white elephant gifts ,4.0,351.0,42.0,100000.0,8, ,adjective
college gifts ,4.0,357.0,80.0,80000.0,8, ,work
floral gifts ,4.0,357.0,4.0,100000.0,8, ,adjective
gifts depressed ,491.0,357.0,222.0,727.0,8, ,inspirational
functional gifts ,4.0,357.0,82.0,100000.0,8, ,inspirational
gifts to cheer someone up ,357.0,357.0,-13.0,1000.0,8, ,inspirational
small gifts ,2.0,360.0,176.0,200000.0,8, ,work
kitchen gifts unique,6.0,362.0,,60000.0,8, ,adjective
gifts funny,4.0,369.0,-2.0,100000.0,8, ,adjective
gifts practical ,5.0,371.0,43.0,80000.0,8, ,work
small thank you gifts ,4.0,373.0,8.0,90000.0,8, ,adjective
topaz gifts ,0.0,373.0,,0.0,8, ,adjective
pamper yourself gifts ,374.0,374.0,4.0,1000.0,8, ,work
mahjong gifts unique,0.0,374.0,,0.0,8, ,adjective
nursing graduation gifts ,0.0,374.0,,0.0,8, ,work
all natural gifts ,4.0,378.0,136.0,100000.0,8, ,adjective
gifts cold ,4.0,381.0,22.0,100000.0,8, ,work
friendship gifts bulk,0.0,381.0,,0.0,8, ,work
 relaxation gifts,38.0,383.0,-10.0,10000.0,8, ,inspirational
your awesome gifts ,1321.0,383.0,24.0,290.0,8, ,adjective
nerd gifts ,77.0,385.0,153.0,5000.0,8, ,adjective
sleep gifts ,6.0,385.0,27.0,70000.0,8, ,inspirational
gifts stoners ,194.0,387.0,19.0,2000.0,8, ,adjective
fun gifts unique,6.0,387.0,75.0,60000.0,8, ,adjective
technology gifts ,6.0,388.0,29.0,70000.0,8, ,work
